DateTime,AddedIPs,RemovedIPs
1508529858,3,5
1508530573,7,4
1508531560,8,15
1508532255,5,0
1508532977,5,5
1508533687,4,5
1508534434,8,5
1508535142,5,3
1508535854,6,7
1508536844,5,6
1508537529,12,11
1508538253,6,4
1508539230,4,1
1508539928,8,0
1508540676,3,6
1508541378,5,7
1508542089,11,0
1508542820,3,3
1508543541,2,9
1508544263,3,0
1508544976,4,8
1508545952,5,8
1508546652,7,4
1508547380,5,5
1508548104,6,0
1508548840,5,7
1508549534,13,0
1508550257,9,25
1508550979,16,5
1508551702,2,0
1508552661,6,14
1508553382,6,5
1508554114,3,8
1508554812,5,0
1508555547,3,4
1508556251,7,6
1508556970,9,6
1508557694,5,11
1508558458,3,0
1508559141,7,9
1508559873,6,3
1508560572,11,0
1508561294,2,7
1508562011,3,5
1508562750,4,10
1508563451,5,0
1508564192,2,7
1508564893,7,0
1508565712,5,5
1508566349,3,4
1508567064,6,7
1508567744,6,4
1508568745,5,2
1508569468,5,3
1508570198,4,2
1508571150,4,2
1508572102,8,7
1508572821,7,0
1508573428,6,6
1508574099,7,4
1508575101,8,2
1508576047,8,7
1508577028,8,2
1508577972,17,4
1508578832,0,3
1508579548,5,8
1508580269,6,4
1508580986,6,2
1508581705,4,7
1508582660,10,9
1508583383,5,3
1508584106,4,0
1508584808,4,7
1508585536,4,7
1508586514,10,17
1508587209,5,0
1508587940,5,2
1508588652,5,3
1508589383,7,9
1508590104,3,9
1508590813,7,0
1508591533,5,4
1508592258,5,4
1508592988,3,2
1508593953,8,15
1508594664,6,0
1508595385,5,7
1508596098,8,5
1508596824,3,3
1508597540,9,5
1508598264,4,0
1508599247,11,16
1508599947,7,8
1508600668,9,3
1508601644,11,10
1508602341,6,2
1508603056,4,7
1508603768,4,2
1508604492,4,6
1508605227,8,6
1508605952,7,5
1508606651,8,0
1508607375,5,5
1508608090,12,5
1508608834,6,4
1508609799,7,5
1508610493,6,3
1508611228,4,1
1508611946,4,9
1508612662,4,2
1508613633,17,4
1508614343,2,6
1508615073,6,0
1508615770,9,9
1508616493,8,9
1508617467,5,4
1508618169,3,0
1508618896,10,4
1508619631,7,15
1508620349,9,6
1508621298,6,2
1508622008,10,0
1508622751,8,11
1508623719,1,3
1508624919,11,5
1508625877,8,0
1508626938,9,16
1508627795,6,0
1508628499,5,2
1508629227,9,3
