DateTime,Entries,UniqueIPs
1508530573,14753,14854
1508531560,14754,14855
1508532255,14757,14858
1508532977,14756,14857
1508533687,14745,14846
1508534434,14754,14855
1508535142,14751,14852
1508535854,14749,14850
1508536844,14744,14845
1508537529,14752,14853
1508538253,14760,14861
1508539230,14760,14861
1508539928,14762,14863
1508540676,14762,14863
1508541378,14752,14853
1508542089,14764,14865
1508542820,14751,14852
1508543541,14749,14850
1508544263,14748,14849
1508544976,14748,14849
1508545952,14746,14847
1508546652,14754,14855
1508547380,14753,14854
1508548104,14748,14849
1508548840,14754,14855
1508549534,14758,14858
1508550257,14759,14859
1508550979,14775,14875
1508551702,14760,14860
1508552661,14758,14858
1508553382,14757,14857
1508554114,14750,14850
1508554812,14755,14855
1508555547,14749,14849
1508556251,14756,14856
1508556970,14764,14864
1508557694,14761,14861
1508558458,14763,14863
1508559141,14765,14865
1508559873,14769,14869
1508560572,14777,14877
1508561294,14772,14872
1508562011,14774,14874
1508562750,14778,14878
1508563451,14782,14882
1508564192,14779,14879
1508564893,14783,14883
1508565712,14784,14884
1508566349,14787,14887
1508567064,14786,14886
1508567744,14792,14892
1508568745,14791,14891
1508569468,14795,14895
1508570198,14799,14899
1508571150,14798,14898
1508572102,14803,14903
1508572821,14802,14902
1508573428,14809,14909
1508574099,14808,14908
1508575101,14810,14910
1508576047,14819,14919
1508577028,14825,14925
1508577972,14837,14937
1508578832,14831,14931
1508579548,14833,14932
1508580269,14832,14931
1508580986,14835,14934
1508581705,14833,14932
1508582660,14841,14940
1508583383,14836,14935
1508584106,14833,14932
1508584808,14822,14921
1508585536,14827,14926
1508586514,14831,14930
1508587209,14830,14929
1508587940,14830,14929
1508588652,14827,14926
1508589383,14836,14935
1508590104,14837,14936
1508590813,14832,14931
1508591533,14835,14934
1508592258,14836,14935
1508592988,14835,14934
1508593953,14840,14939
1508594664,14841,14940
1508595385,14840,14939
1508596098,14847,14946
1508596824,14845,14944
1508597540,14849,14948
1508598264,14845,14944
1508599247,14850,14949
1508599947,14858,14957
1508600668,14857,14956
1508601644,14864,14963
1508602341,14868,14967
1508603056,14866,14965
1508603768,14861,14960
1508604492,14861,14960
1508605227,14862,14961
1508605952,14868,14967
1508606651,14876,14975
1508607375,14875,14974
1508608090,14877,14976
1508608834,14878,14977
