DateTime,AddedIPs,RemovedIPs
1508530573,43,61
1508531560,52,56
1508532255,41,48
1508532977,39,55
1508533687,50,50
1508534434,46,41
1508535142,34,43
1508535854,49,44
1508536844,48,49
1508537529,47,49
1508538253,37,40
1508539230,45,56
1508539928,39,58
1508540676,32,34
1508541378,55,91
1508542089,65,63
1508542820,64,35
1508543541,30,40
1508544263,37,38
1508544976,38,37
1508545952,39,46
1508546652,42,34
1508547380,27,46
1508548104,40,35
1508548840,31,31
1508549534,45,53
1508550257,44,43
1508550979,54,65
1508551702,33,71
1508552661,55,240
1508553382,108,174
1508554114,132,129
1508554812,106,109
1508555547,113,107
1508556251,104,102
1508556970,211,38
1508557694,43,36
1508558458,47,47
1508559141,45,30
1508559873,46,38
1508560572,51,52
1508561294,54,33
1508562011,36,56
1508562750,49,38
1508563451,45,40
1508564192,53,40
1508564893,37,32
1508565712,49,33
1508566349,43,47
1508567064,50,29
1508567744,30,62
1508568745,63,54
1508569468,49,52
1508570198,47,54
1508571150,49,41
1508572102,61,46
1508572821,46,52
1508573428,50,47
1508574099,54,49
1508575101,74,62
1508576047,58,48
1508577028,64,57
1508577972,67,71
1508578832,43,60
1508579548,59,42
1508580269,44,52
1508580986,55,30
1508581705,43,40
1508582660,56,65
1508583383,52,30
1508584106,41,44
1508584808,52,46
1508585536,59,45
1508586514,67,58
1508587209,53,54
1508587940,58,46
1508588652,41,41
1508589383,44,57
1508590104,60,74
1508590813,65,43
1508591533,41,60
1508592258,60,38
1508592988,41,64
1508593953,58,54
1508594664,56,45
1508595385,51,43
1508596098,45,63
1508596824,67,41
1508597540,62,68
1508598264,37,37
1508599247,61,77
1508599947,61,47
1508600668,67,66
1508601644,58,45
1508602341,51,53
1508603056,48,60
1508603768,53,45
1508604492,45,46
1508605227,46,52
1508605952,58,69
1508606651,61,67
1508607375,57,32
1508608090,40,31
1508608834,41,73
1508609799,83,50
1508610493,44,50
1508611228,49,39
1508611946,38,49
1508612662,47,38
1508613633,68,61
1508614343,44,29
1508615073,39,39
1508615770,38,46
1508616493,52,62
1508617467,59,52
1508618169,34,48
1508618896,57,57
1508619631,51,59
1508620349,57,63
1508621298,47,50
1508622008,53,50
1508622751,60,61
1508623719,37,47
1508624919,62,75
1508625877,51,67
1508626938,62,51
1508627795,39,49
1508628499,49,31
1508629227,46,73
1508629930,49,33
1508630667,45,51
1508631395,50,58
1508632091,45,55
1508632823,58,46
1508633540,38,50
1508634520,44,56
1508635460,46,70
1508636180,50,25
1508636908,54,71
1508637615,44,73
1508638346,70,67
1508639051,54,60
1508640027,63,63
1508640984,67,55
1508641697,49,35
1508642413,39,61
1508643395,69,45
1508644373,42,48
1508645323,33,97
1508646260,102,50
1508646979,55,38
1508647696,39,61
1508648676,65,52
1508649374,48,66
1508650103,61,120
1508651072,102,41
1508652041,86,62
1508653004,64,64
1508653957,50,56
1508654906,61,46
1508655610,53,39
1508656349,45,53
1508657051,63,53
1508657779,61,73
1508658491,69,41
1508659228,46,44
1508660197,54,51
1508660888,46,53
1508661632,60,42
1508662339,41,55
1508663061,69,71
1508663776,67,41
1508664508,56,28
1508665210,39,52
1508665933,56,58
1508666655,65,37
1508667385,50,49
1508668356,54,40
1508669313,52,100
1508670267,75,99
1508670989,81,39
1508671703,53,48
1508672409,46,46
1508673135,57,60
1508673868,66,48
1508674587,46,59
1508675300,65,54
1508676020,57,58
1508676727,52,53
1508678457,131,124
1508679391,106,54
1508680091,52,49
1508680845,65,72
1508681541,62,67
1508682259,71,88
1508683225,91,68
1508683928,86,81
1508684667,57,79
1508685387,105,70
1508686107,70,46
1508687057,55,68
1508687783,66,59
1508688507,56,46
1508689209,38,42
1508689944,40,52
1508690910,59,50
1508691616,66,45
1508692355,43,59
1508693051,53,47
1508693797,45,47
1508694507,51,44
1508695239,48,68
1508696197,56,55
1508696886,55,52
1508697638,63,70
1508698588,90,70
1508700035,70,134
1508700744,103,43
1508701468,31,54
1508702501,58,59
1508703141,48,109
1508703856,95,55
1508704569,53,54
1508705298,51,52
1508706053,57,65
1508706759,47,39
1508707449,36,61
1508708173,40,129
1508709152,119,46
1508709867,51,55
1508710581,55,43
1508711491,61,63
1508712250,34,52
1508712975,39,36
1508713974,36,55
1508714896,40,65
1508715623,44,60
1508716341,52,44
1508717062,45,41
1508718031,43,60
1508718996,68,42
1508719953,48,49
1508720659,47,27
1508721392,40,42
