DateTime,Entries,UniqueIPs
1508185836,149,149
1508186740,148,148
1508188243,150,150
1508191441,152,152
1508192308,155,155
1508193224,151,151
1508194905,150,150
1508195676,151,151
1508196765,153,153
1508199037,154,154
1508200117,156,156
1508201140,156,156
1508202636,156,156
1508206243,157,157
1508208334,156,156
1508209844,155,155
1508213183,155,155
1508215362,154,154
1508216194,155,155
1508218531,151,151
1508219402,150,150
1508220877,151,151
1508222552,150,150
1508223672,151,151
1508225445,148,148
1508227833,147,147
1508229815,146,146
1508230625,148,148
1508231437,151,151
1508232537,152,152
1508233537,151,151
1508234187,152,152
1508235337,155,155
1508236245,154,154
1508238871,156,156
1508239709,158,158
1508240557,158,158
1508241749,159,159
1508242831,160,160
1508245136,161,161
1508246149,160,160
1508246905,161,161
1508247768,160,160
1508248680,162,162
1508249735,158,158
1508250596,159,159
1508251540,160,160
1508253039,158,158
1508255141,159,159
1508256980,158,158
1508257840,157,157
1508260842,158,158
1508262338,156,156
1508263845,153,153
1508265038,155,155
1508268507,160,160
1508270458,159,159
1508271268,160,160
1508272108,161,161
1508273142,159,159
1508274645,158,158
1508276742,159,159
1508277891,158,158
1508280156,159,159
1508281837,158,158
1508283039,157,157
1508283941,156,156
1508286513,157,157
1508287539,159,159
1508289038,160,160
1508290111,163,163
1508291169,164,164
1508293528,165,165
1508294732,163,163
1508296238,165,165
1508298039,163,163
1508299841,161,161
1508301120,159,159
1508302594,160,160
1508303440,159,159
1508304335,161,161
1508305246,161,161
1508306138,162,162
1508307040,163,163
1508308238,161,161
1508310265,162,162
1508311241,164,164
1508312203,165,165
1508313402,166,166
1508314251,164,164
1508315314,166,166
1508316133,163,163
1508317848,162,162
1508319034,164,164
1508319766,164,164
1508321691,163,163
1508322644,160,160
1508325340,159,159
1508326969,159,159
1508328066,160,160
1508328942,162,162
1508329835,161,161
1508330693,162,162
1508331541,160,160
1508332533,159,159
1508333429,158,158
1508334291,157,157
1508335840,157,157
1508336710,158,158
1508337642,152,152
1508339383,150,150
1508340929,148,148
1508342257,149,149
1508343338,148,148
1508344238,146,146
1508345137,144,144
1508345969,143,143
1508346937,142,142
1508347828,141,141
1508350474,142,142
1508351438,143,143
1508352987,144,144
1508353839,146,146
1508354909,147,147
1508355757,145,145
1508358907,145,145
1508360138,149,149
1508361036,152,152
1508362827,148,148
1508364085,148,148
1508365846,143,143
1508366552,144,144
1508368844,146,146
1508370129,141,141
1508371839,140,140
1508372908,143,143
1508375311,146,146
1508376639,145,145
1508377358,147,147
1508380127,148,148
1508381787,148,148
1508382642,147,147
1508385704,147,147
1508388342,150,150
1508389375,149,149
1508390434,151,151
1508390908,153,153
1508391941,151,151
1508393679,151,151
1508395359,154,154
1508397042,153,153
1508399136,152,152
1508400642,147,147
1508401595,148,148
1508402447,144,144
1508404073,144,144
1508405956,142,142
1508406149,143,143
1508408908,144,144
1508409937,142,142
1508411440,140,140
1508413241,140,140
1508414802,139,139
1508415639,141,141
1508416786,140,140
1508417790,141,141
1508418649,139,139
1508419568,140,140
1508420445,141,141
1508422262,140,140
1508424214,139,139
1508426070,145,145
1508427751,149,149
1508429676,149,149
1508430644,151,151
1508432674,153,153
1508434528,151,151
1508438552,147,147
1508439696,148,148
1508441445,147,147
1508443837,149,149
1508446538,149,149
1508447438,151,151
1508449358,150,150
1508451268,151,151
1508452114,152,152
1508453146,155,155
1508456561,154,154
1508458466,154,154
1508460041,150,150
1508460931,151,151
1508461770,152,152
1508463045,151,151
1508465438,150,150
1508466512,152,152
1508467533,153,153
1508468675,153,153
1508469640,153,153
1508470111,154,154
1508471140,153,153
1508472634,153,153
1508473701,155,155
1508474734,156,156
1508475723,157,157
1508476468,158,158
1508477730,159,159
1508479843,166,166
1508480069,167,167
1508481417,167,167
1508482599,166,166
1508483439,166,166
1508485531,166,166
1508488108,167,167
1508489149,165,165
1508491234,166,166
1508492433,166,166
1508494218,166,166
1508495299,167,167
1508496155,166,166
1508497302,164,164
1508498137,165,165
1508499034,164,164
1508499932,163,163
1508500963,162,162
1508502644,163,163
1508503536,164,164
1508504469,165,165
1508506239,164,164
1508508590,165,165
1508509780,167,167
1508511785,167,167
1508512838,169,169
