DateTime,AddedIPs,RemovedIPs
1508331554,4,5
1508332540,5,1
1508333438,0,9
1508334296,6,3
1508334993,1,1
1508335845,7,6
1508336718,2,0
1508337648,2,9
1508338535,3,1
1508339389,0,2
1508340935,2,8
1508342261,6,2
1508343343,6,7
1508344243,6,6
1508345142,3,0
1508345973,3,5
1508346942,2,0
1508347833,5,3
1508348742,5,0
1508350479,11,6
1508352992,9,7
1508353843,1,4
1508354914,1,0
1508355763,2,5
1508356604,0,1
1508357443,1,2
1508358912,1,4
1508360143,3,4
1508361041,0,1
1508361933,2,3
1508362831,4,11
1508364089,2,5
1508364944,5,1
1508365852,7,5
1508366557,5,2
1508367877,8,2
1508368848,3,1
1508370137,5,2
1508371843,7,2
1508372913,5,2
1508373762,6,3
1508375316,12,3
1508376644,8,1
1508377363,2,3
1508378748,8,4
1508379644,3,0
1508380132,1,0
1508381792,5,3
1508382647,1,1
1508384742,3,0
1508385708,4,6
1508386475,5,0
1508387306,6,2
1508389382,2,3
1508390439,1,0
1508390914,2,0
1508391946,0,3
1508393683,4,5
1508394540,3,0
1508395366,2,6
1508397047,2,5
1508399142,4,6
1508401600,0,5
1508402452,1,10
1508404079,0,2
1508405007,2,2
1508405968,0,3
1508408081,5,5
1508408912,2,0
1508409942,4,2
1508410603,4,0
1508411445,1,2
1508412398,3,0
1508413246,1,1
1508414808,2,1
1508416791,3,4
1508417796,3,1
1508418654,1,2
1508419573,1,0
1508420450,1,6
1508422283,1,5
1508423313,4,0
1508424219,2,8
1508426075,1,3
1508427756,1,7
1508429681,2,5
1508430649,0,2
1508432679,0,2
1508433640,4,0
1508434532,2,4
1508435433,4,1
1508436646,7,4
1508438556,4,12
1508439706,3,6
1508440546,2,0
1508441449,4,6
1508442343,3,1
1508443842,8,3
1508444924,5,0
1508446543,2,9
1508447443,3,1
1508449363,5,4
1508451273,14,3
1508452120,3,0
1508453151,7,9
1508454656,8,9
1508456566,4,10
1508458471,8,13
1508460046,3,23
1508461775,0,2
1508462078,1,0
1508463051,5,8
1508463756,5,3
1508465442,9,9
1508466517,5,1
1508467538,7,8
1508468681,4,10
1508469645,1,0
1508470116,1,1
1508471146,1,11
1508472639,7,3
1508473706,1,0
1508474740,2,7
1508475742,3,4
1508476473,3,0
1508477735,4,5
1508479848,9,6
1508481425,1,6
1508482606,9,2
1508483444,1,2
1508485536,4,4
1508488113,12,2
1508489155,6,5
1508490285,5,2
1508491239,2,0
1508492438,6,3
1508493343,6,0
1508494226,2,9
1508495304,2,1
1508496162,0,10
1508497308,3,9
1508498142,1,0
1508499038,1,7
1508499937,4,1
1508500968,0,6
1508501673,1,0
1508502649,0,7
1508503542,2,0
1508504475,1,3
1508505289,2,1
1508506244,2,4
1508506970,1,3
1508508594,3,4
1508509793,1,2
1508510748,0,2
1508511796,1,5
1508512843,5,1
1508514123,1,12
1508516079,5,7
1508517340,2,5
1508518233,1,3
1508519673,3,9
1508520482,1,0
1508521321,5,9
1508523283,4,2
1508525238,3,5
1508526117,4,2
1508526941,2,1
1508527853,3,6
1508528567,2,2
1508529393,3,5
1508530244,1,0
1508531202,2,0
1508532166,1,7
1508532998,2,0
1508533845,6,4
1508534848,3,0
1508537442,12,16
1508538512,8,2
1508539363,12,12
1508540391,8,1
1508541344,0,1
1508542246,0,6
1508543143,0,5
1508544651,4,10
1508545852,1,13
1508546742,3,2
1508548478,5,4
1508549439,3,3
1508550169,2,3
1508551262,3,10
1508552145,3,0
1508553341,3,7
1508554591,3,1
1508555444,1,6
1508556641,3,9
1508558280,3,1
1508559291,2,6
1508560133,2,0
1508561143,1,9
1508561796,3,0
1508562649,1,7
1508564399,1,5
1508566244,0,4
1508567613,1,4
1508568958,1,1
1508569849,0,2
1508571029,0,2
1508571952,1,0
1508575542,0,1
1508576649,0,3
1508577638,1,0
1508578746,2,8
1508580643,2,4
1508581531,0,2
1508582344,1,10
1508584242,0,2
1508585136,2,0
1508586047,0,4
1508586886,1,1
1508587843,1,4
1508589039,0,1
1508590387,1,1
1508591443,3,1
1508592521,3,0
1508593544,2,4
1508594516,1,2
1508595347,3,1
1508596240,0,1
1508597146,4,1
1508598879,5,2
1508599845,4,2
1508600650,1,0
1508601702,4,0
1508602483,5,0
1508603312,5,0
1508604343,4,7
1508605841,5,2
1508607928,5,6
1508609672,1,6
1508610513,1,0
1508611365,1,9
1508613045,5,8
1508614842,4,20
1508615739,3,0
1508616646,1,5
1508617592,1,0
1508618449,0,15
1508619345,1,0
1508620243,2,8
1508621332,2,0
1508622348,1,18
1508623373,1,24
1508624913,2,0
1508625755,1,19
1508626600,1,0
1508627445,1,8
1508629535,2,14
1508631044,0,9
1508632117,1,0
1508633134,1,19
1508634653,0,10
1508636556,3,15
1508638239,4,8
1508640344,2,8
1508640991,1,0
1508641850,3,6
1508642913,1,0
1508643951,0,5
1508644856,0,14
1508645754,2,0
1508647359,0,19
1508648850,0,13
1508651067,3,22
1508652944,3,19
1508653716,2,0
1508654740,1,15
1508655911,0,11
1508656846,2,0
1508658050,3,36
1508660075,2,17
1508660917,1,1
1508661770,4,31
1508662874,0,22
1508663756,1,0
1508664946,2,18
1508666704,4,12
1508667648,1,2
1508668854,0,11
1508670643,2,5
1508671839,3,1
1508672986,1,0
1508674252,3,1
1508675171,1,0
1508676046,1,5
1508676902,2,0
1508677846,0,5
1508678736,1,0
1508679638,0,9
1508681380,2,6
1508682525,3,0
1508683551,2,7
1508684377,2,2
1508685340,4,2
1508686243,1,14
1508686962,7,4
1508688647,6,3
1508689488,7,0
1508690453,4,13
1508691720,7,12
1508692550,7,0
1508693444,8,9
1508694347,7,5
1508696085,13,12
1508697040,6,17
1508697958,14,5
1508699453,14,10
1508700516,6,0
1508701543,3,14
1508703038,2,11
1508704114,0,1
1508705038,0,36
1508706650,1,10
1508708591,0,37
1508709673,2,14
1508710542,1,2
1508711446,0,2
1508712869,1,0
1508713782,0,5
1508714697,1,0
1508715646,0,19
1508717451,3,9
1508718630,0,14
1508719485,1,2
1508721054,2,13
1508721947,1,1
1508722967,1,16
1508723794,1,0
1508724641,1,11
1508725610,1,0
1508726741,3,29
1508728467,3,4
1508729517,4,11
1508731845,2,9
1508732913,0,1
1508733942,1,2
1508735453,0,4
1508735688,1,0
1508736648,1,6
1508738193,1,0
1508739042,2,5
1508740246,1,4
1508741121,1,0
1508742165,0,1
1508743095,1,1
1508744024,1,3
1508747442,0,1
1508748144,1,3
1508748997,1,0
1508749848,1,1
1508751945,1,3
1508752599,1,0
1508753444,2,2
1508754526,1,0
1508755381,1,3
1508757044,3,1
1508758854,1,10
1508759733,1,0
1508760575,0,6
1508762138,2,10
1508763350,1,3
1508764243,0,14
1508765133,1,1
1508766041,0,19
1508767297,1,9
1508769940,2,11
1508771437,1,21
1508772598,0,18
1508773356,1,8
1508775050,1,17
1508776114,2,0
1508777015,0,36
1508777923,1,12
1508778940,0,1
1508779861,0,6
1508780560,1,10
1508782473,1,14
1508783441,1,23
1508784336,0,3
1508786076,2,7
1508787648,2,7
1508788591,1,0
1508789450,1,5
1508790644,2,5
1508791544,0,1
1508792207,2,0
1508793037,1,1
1508795137,0,7
1508797249,1,0
1508798272,0,5
1508798555,0,2
1508799879,0,1
1508802045,1,5
1508804448,0,6
1508805656,2,3
1508807161,1,2
1508808052,1,0
1508809371,0,2
1508811049,0,1
1508812104,2,0
1508813148,0,3
1508814213,1,0
1508816139,0,2
1508817721,0,1
1508819447,1,0
1508820171,0,1
1508821845,2,0
1508823041,2,4
1508823853,1,1
1508824880,1,1
1508826661,0,8
1508827545,0,2
1508829282,4,7
1508830225,0,8
1508831741,0,4
1508832640,0,3
1508833858,1,4
1508834560,1,2
1508835709,0,7
1508838340,1,2
1508840085,2,4
1508841049,0,4
1508841948,0,19
1508843281,1,6
1508844192,1,0
1508845248,1,9
1508846138,1,0
1508847051,1,2
1508848113,1,0
1508848958,2,1
1508850278,1,3
1508851251,1,0
1508852449,0,11
1508853690,2,10
1508856343,0,18
1508857846,0,14
1508860538,3,26
1508861447,0,16
1508862653,0,31
1508863360,0,10
1508865044,3,30
1508866116,1,0
1508867141,1,69
1508868645,1,35
1508870442,2,40
1508872544,0,3
1508874338,1,1
1508876915,1,2
1508877947,3,0
1508878599,1,0
1508879455,0,2
1508882345,0,2
1508884250,1,3
1508885146,1,1
1508886948,1,1
1508887847,2,2
1508888554,1,0
1508889392,1,1
1508890244,1,1
1508891448,0,1
1508894916,2,0
1508895945,0,5
1508897372,2,18
1508899246,2,5
1508900149,1,0
1508900998,0,1
