DateTime,AddedIPs,RemovedIPs
1508367850,1,1
1508368842,5,1
1508370110,1,3
1508371838,5,5
1508372907,2,1
1508373756,4,8
1508375310,8,5
1508376638,2,5
1508377357,2,3
1508378743,4,8
1508379638,4,1
1508380126,6,0
1508380964,2,5
1508381786,6,0
1508382641,1,2
1508384735,8,13
1508385699,4,7
1508386469,0,2
1508387300,3,0
1508388340,8,7
1508389373,4,4
1508390433,3,0
1508390907,1,1
1508391940,2,4
1508393678,4,5
1508394533,3,0
1508395358,2,6
1508397041,5,6
1508399135,10,7
1508400641,10,3
1508401594,4,1
1508402446,4,7
1508404072,4,4
1508404997,3,0
1508405948,7,4
1508406148,6,0
1508408075,3,7
1508408907,2,1
1508409936,4,4
1508410595,1,1
1508411439,1,3
1508412392,7,0
1508413240,1,2
1508414801,43,3
1508415638,3,0
1508416785,7,6
1508417789,4,0
1508418648,1,1
1508419567,2,1
1508420444,0,5
1508421388,20,0
1508422261,1,3
1508423306,1,1
1508424213,1,3
1508426069,4,2
1508427750,3,3
1508429675,7,5
1508430643,2,4
1508431363,0,2
1508432673,5,3
1508433634,4,0
1508434527,3,1
1508435427,4,0
1508436640,3,6
1508438550,2,4
1508439688,2,5
1508440540,1,1
1508442336,2,0
1508443830,4,5
1508444919,4,1
1508446537,4,6
1508447437,2,0
1508449357,4,4
1508451267,3,7
1508452113,1,0
1508453145,2,6
1508454649,3,3
1508456560,2,1
1508458465,1,2
1508460040,8,12
1508460930,4,0
1508461769,5,2
1508462071,3,0
1508463043,6,5
1508463750,0,3
1508465437,8,4
1508466511,8,0
1508467532,2,13
1508468674,8,5
1508469639,5,0
1508470110,3,0
1508471139,5,6
1508472633,2,9
1508473697,4,0
1508474733,5,6
1508475720,7,6
1508476467,5,1
1508477729,6,4
1508479842,6,4
1508480068,1,0
1508481416,4,5
1508482598,5,6
1508483438,3,5
1508485530,6,12
1508488107,11,4
1508489148,7,6
1508490266,1,4
1508491232,5,1
1508492432,6,1
1508493337,2,0
1508494473,6,3
1508495282,4,2
1508496154,1,4
1508497301,5,3
1508498136,3,0
1508499031,2,10
1508499931,6,2
1508500959,3,3
1508501668,1,1
1508502642,9,2
1508503535,7,0
1508504468,4,1
1508505283,5,0
1508506238,3,5
1508506963,3,0
1508508588,7,3
1508509741,2,0
1508511784,1,9
1508512837,2,0
1508514071,4,5
1508516073,8,2
1508517333,2,1
1508518227,2,1
1508519667,3,3
1508520476,5,0
1508521315,1,5
1508522397,3,3
1508523277,0,2
1508525231,9,5
1508526110,2,1
1508526935,3,1
1508527846,4,1
1508528561,1,0
1508529387,3,0
1508530238,2,7
1508531196,4,1
1508532160,1,2
1508532992,1,1
1508533839,0,2
1508534829,2,0
1508537436,5,4
1508538507,3,0
1508539357,1,4
1508540385,2,1
1508541338,0,1
1508542241,5,0
1508543136,0,2
1508544644,8,3
1508545846,3,5
1508546735,4,3
1508548472,7,3
1508549421,6,10
1508550163,2,0
1508551200,1,6
1508552139,2,0
1508553335,4,5
1508554585,2,2
1508555438,2,4
1508556635,3,6
1508558274,10,2
1508559281,4,3
1508560125,2,0
1508561137,2,4
1508561790,1,0
1508562644,0,2
1508564393,13,4
1508566238,4,3
1508567584,5,8
1508568947,0,5
1508569842,2,5
1508571016,6,8
1508571945,7,2
1508572596,3,1
1508573473,2,5
1508575534,9,10
1508576640,3,5
1508577633,5,0
1508578734,2,6
1508578949,1,0
1508580638,6,7
1508581526,5,1
1508582338,4,5
1508584236,2,5
1508585130,3,0
1508586041,3,6
1508586881,2,0
1508587838,4,8
1508589033,29,5
1508590381,6,6
1508591437,10,7
1508592515,2,4
1508593537,2,4
1508594510,0,6
1508596228,0,4
1508597140,0,2
1508598873,7,4
1508599839,2,2
1508600643,2,0
1508601687,2,5
1508602477,3,1
1508603306,2,0
1508604337,6,6
1508605836,6,4
1508606890,0,1
1508607909,2,1
1508609666,3,1
1508610507,1,0
1508611359,2,2
1508613039,1,3
1508614836,3,3
1508615733,3,2
1508616640,2,2
1508617586,1,1
1508618443,2,8
1508619339,1,0
1508620237,1,2
1508622339,1,3
1508623364,4,2
1508624907,2,0
1508625749,3,1
1508626595,0,1
1508627439,2,2
1508629528,2,4
1508631038,0,5
1508632111,1,1
1508633125,4,7
1508634647,3,3
1508636549,9,11
1508638234,1,8
1508640338,5,9
1508640986,1,0
1508641839,0,2
1508642907,4,0
1508643944,3,3
1508644850,4,6
1508645744,3,0
1508647354,6,11
1508648834,7,0
1508651050,6,8
1508651859,5,0
1508652937,3,4
1508653710,4,0
1508654734,2,15
1508655905,3,4
1508656840,7,1
1508658044,4,6
1508660069,11,5
1508660909,4,0
1508661762,1,9
1508662851,6,4
1508663743,1,1
1508664940,1,5
1508666698,7,6
1508667641,1,0
1508668848,2,8
1508671833,3,7
1508672980,2,2
1508674246,2,11
1508675165,3,0
1508676040,3,5
1508676896,2,1
1508677840,6,2
1508678730,1,1
1508679632,0,3
1508681358,3,1
1508682519,2,0
1508683541,2,26
1508684371,3,4
1508685334,2,2
1508686237,0,2
1508686953,0,2
1508688641,4,3
1508689482,5,0
1508690447,1,57
1508691713,3,2
1508693437,2,2
1508694341,2,1
1508696079,4,4
1508697034,4,6
1508697947,2,1
1508699447,4,3
1508700510,2,0
1508701537,4,6
1508703032,4,0
1508704107,3,0
1508705032,2,8
1508706644,3,3
1508707689,2,0
1508708584,2,5
1508709656,0,2
1508710536,2,1
1508711440,0,6
1508712860,2,0
1508713776,0,1
1508714690,1,2
1508715640,2,6
1508717445,5,3
1508718621,4,8
1508719479,2,3
1508721048,12,1
1508721941,8,0
1508722961,5,5
1508723788,5,0
1508724635,3,1
1508725604,3,5
1508726734,0,9
1508728452,6,3
1508729501,7,6
1508731839,11,5
1508732907,2,0
1508733936,4,14
1508734588,5,1
1508735447,1,3
1508735681,1,0
1508736642,3,7
1508737453,4,0
1508738187,1,0
1508739036,4,2
1508740237,3,9
1508741100,6,4
1508742152,6,3
1508743080,2,0
1508744016,6,7
1508744560,5,0
1508746470,14,6
1508747434,7,8
1508748991,10,3
1508749842,7,4
1508750908,6,1
1508751935,7,8
1508752593,1,0
1508753438,3,6
1508754520,5,0
1508755371,64,7
1508757038,5,4
1508758848,7,17
1508759727,2,1
1508760569,3,6
1508762133,6,5
1508763343,3,1
1508764238,2,1
1508765127,3,0
1508766035,4,3
1508767291,0,6
1508769039,3,4
1508769933,5,0
1508771432,0,3
1508772592,3,6
1508773348,2,3
1508774187,1,1
1508775045,0,1
1508776106,1,1
1508777009,2,4
1508777880,1,1
1508778934,1,2
1508779854,3,0
1508780554,1,0
1508782467,4,0
1508783435,1,1
1508784329,1,1
1508786068,5,3
1508787642,3,4
1508788586,2,0
1508789444,3,2
1508790638,5,3
1508791537,3,0
1508792201,1,1
1508793031,1,3
1508794107,0,1
1508795130,3,4
1508796283,2,6
1508797243,3,0
1508798265,4,3
1508798549,4,1
1508799871,1,0
1508800838,2,0
1508802040,4,9
1508804443,6,3
1508805649,6,11
1508807154,13,0
1508808046,5,0
1508808507,2,1
1508809364,2,4
1508810194,6,0
1508811043,3,3
1508812098,3,0
1508813142,3,8
1508814202,2,3
1508815247,2,0
1508816133,4,7
1508816559,0,2
1508817713,6,9
1508818538,4,0
1508819441,7,1
1508820165,2,4
1508821840,11,6
1508823035,4,8
1508823838,2,3
1508824858,7,1
1508825737,2,1
1508826655,3,7
1508827539,6,0
1508829276,4,4
1508830199,2,8
1508831735,6,1
1508832635,4,3
1508833849,5,0
1508834553,6,1
1508835698,5,7
1508836540,3,0
1508837307,4,1
1508838327,1,7
1508840079,8,5
1508841042,4,1
1508841940,3,0
1508843276,10,3
1508844176,5,0
1508845241,2,4
1508846132,2,0
1508847045,5,6
1508848107,5,0
1508848951,3,6
1508850272,3,4
1508851245,0,1
1508852444,2,3
1508853657,3,4
1508854530,2,2
1508855308,3,0
1508856337,1,4
1508857840,4,3
1508860532,6,3
1508861441,4,1
1508862647,1,2
1508863354,0,3
1508865038,5,2
1508866110,4,0
1508867135,2,5
1508868639,1,3
1508870437,5,5
1508872537,4,3
1508873436,2,5
1508874332,2,1
1508876057,8,3
1508876908,2,0
1508877938,1,4
1508879449,1,1
1508880638,1,1
1508882339,3,3
1508883341,2,1
1508884244,1,2
1508885140,4,0
1508886942,5,4
1508887840,0,3
1508888548,1,2
1508889386,3,0
1508890239,4,10
1508891434,8,9
1508892152,1,1
1508893843,4,4
1508894910,5,1
1508895938,2,4
1508897362,9,4
1508898192,9,0
1508899240,7,8
1508900143,1,0
1508900989,3,9
1508902232,2,2
1508903127,5,0
1508904642,3,2
1508905707,3,0
1508906740,2,5
1508907644,8,6
1508908546,2,0
1508909316,4,0
1508910998,10,5
1508911852,2,8
1508913754,3,6
1508915670,5,8
1508916653,3,9
1508917365,2,0
1508918190,4,0
1508919047,5,9
1508920114,7,0
1508920976,7,11
1508921945,3,6
1508922938,6,0
1508923819,2,14
1508924559,4,0
1508925396,4,0
1508926246,3,82
