DateTime,Entries,UniqueIPs
1508370105,2929,2929
1508371837,2957,2957
1508372906,2971,2971
1508373755,2927,2927
1508375309,2920,2920
1508376637,2914,2914
1508377354,2917,2917
1508378742,2893,2893
1508379637,2914,2914
1508380124,2916,2916
1508380960,2904,2904
1508381785,2916,2916
1508382640,2910,2910
1508384735,2926,2926
1508385695,2921,2921
1508386468,2930,2930
1508387299,2941,2941
1508388340,2913,2913
1508389371,2915,2915
1508390432,2921,2921
1508390906,2928,2928
1508391939,2889,2889
1508393677,2867,2867
1508394531,2875,2875
1508395357,2858,2858
1508397040,2890,2890
1508399134,2895,2895
1508400640,2898,2898
1508401589,2916,2916
1508402445,2907,2907
1508404071,2906,2906
1508404996,2913,2913
1508405903,2897,2897
1508406147,2887,2887
1508408074,2886,2886
1508408906,2904,2904
1508409935,2900,2900
1508410594,2908,2908
1508411439,2882,2882
1508412391,2890,2890
1508413239,2878,2878
1508414800,2903,2903
1508415637,2912,2912
1508416784,2895,2895
1508417788,2904,2904
1508418647,2927,2927
1508419566,2953,2953
1508420443,2925,2925
1508421388,2976,2976
1508422260,3015,3015
1508423306,3162,3162
1508424212,3143,3143
1508426068,3135,3135
1508427749,3121,3121
1508429674,3110,3110
1508430642,3109,3109
1508431362,3104,3104
1508432673,3093,3093
1508433633,3109,3109
1508434526,3119,3119
1508435426,3132,3132
1508436639,3116,3116
1508438550,3094,3094
1508439681,3085,3085
1508440539,3139,3139
1508441442,3115,3115
1508442335,3128,3128
1508443828,3150,3150
1508444918,3168,3168
1508446536,3143,3143
1508447437,3123,3123
1508449356,3119,3119
1508451266,3134,3134
1508452112,3143,3143
1508453144,3121,3121
1508454648,3123,3123
1508456559,3109,3109
1508458464,3103,3103
1508460039,3082,3082
1508460929,3090,3090
1508461763,3072,3072
1508462070,3074,3074
1508463040,3050,3050
1508463749,3047,3047
1508465436,3038,3038
1508466510,3044,3044
1508467531,3010,3010
1508468672,3001,3001
1508469638,3012,3012
1508470109,3022,3022
1508471138,2999,2999
1508472632,2995,2995
1508473692,3008,3008
1508474732,3000,3000
1508475719,2999,2999
1508476466,3002,3002
1508477729,2992,2992
1508479842,2994,2994
1508480067,2995,2995
1508481415,2984,2984
1508482596,2984,2984
1508483437,2962,2962
1508485527,2931,2931
1508488106,2905,2905
1508489147,2889,2889
1508490260,2889,2889
1508491232,2889,2889
1508492431,2884,2884
1508493337,2893,2893
1508494472,2879,2879
1508495281,2881,2881
1508496153,2867,2867
1508497295,2852,2852
1508498135,2858,2858
1508499028,2848,2848
1508499930,2848,2848
1508500956,2842,2842
1508501667,2852,2852
1508502642,2847,2847
1508503534,2858,2858
1508504467,2848,2848
1508505283,2859,2859
1508506237,2848,2848
1508506962,2853,2853
1508508588,2848,2848
1508509741,2860,2860
1508511780,2819,2819
1508512836,2832,2832
1508514041,2817,2817
1508515845,2819,2819
1508516072,2824,2824
1508517332,2819,2819
1508518226,2814,2814
1508519666,2806,2806
1508520475,2814,2814
1508521314,2797,2797
1508522396,2797,2797
1508523276,2804,2804
1508525230,2786,2786
1508526934,2768,2768
1508527845,2728,2728
1508528558,2717,2717
1508529386,2725,2725
1508530237,2726,2726
1508531195,2733,2733
1508532159,2677,2677
1508532991,2689,2689
1508533838,2670,2670
1508534822,2682,2682
1508537435,2645,2645
1508538506,2658,2658
1508539357,2615,2615
1508540384,2606,2606
1508541337,2612,2612
1508542240,2590,2590
1508543135,2587,2587
1508544644,2591,2591
1508545845,2585,2585
1508546734,2601,2601
1508548471,2591,2591
1508549414,2568,2568
1508550159,2562,2562
1508551202,2538,2538
1508552138,2554,2554
1508553334,2536,2536
1508554585,2530,2530
1508555437,2514,2514
1508556634,2505,2505
1508558273,2520,2520
1508559279,2519,2519
1508560123,2532,2532
1508561136,2521,2521
1508561790,2523,2523
1508562643,2519,2519
1508564393,2524,2524
1508566237,2537,2537
1508567583,2510,2510
1508568948,2511,2511
1508569841,2492,2492
