DateTime,Entries,UniqueIPs
1508195675,1657,1657
1508196764,1633,1633
1508199036,1597,1597
1508200116,1580,1580
1508201139,1567,1567
1508202635,1554,1554
1508204132,1544,1544
1508205027,1538,1538
1508206243,1532,1532
1508207471,1528,1528
1508208333,1527,1527
1508209843,1521,1521
1508211750,1513,1513
1508213176,1512,1512
1508214043,1510,1510
1508214511,1507,1507
1508215361,1502,1502
1508218530,1496,1496
1508219401,1494,1494
1508220876,1489,1489
1508222551,1486,1486
1508223665,1481,1481
1508224476,1477,1477
1508225445,1472,1472
1508227832,1465,1465
1508229814,1461,1461
1508230624,1462,1462
1508231437,1464,1464
1508232536,1459,1459
1508233536,1456,1456
1508234186,1454,1454
1508235336,1452,1452
1508236244,1454,1454
1508236959,1454,1454
1508238871,1451,1451
1508239708,1449,1449
1508241747,1446,1446
1508242831,1443,1443
1508244153,1442,1442
1508245132,1441,1441
1508246149,1440,1440
1508247767,1439,1439
1508248679,1439,1439
1508249734,1438,1438
1508250595,1436,1436
1508251539,1435,1435
1508252187,1434,1434
1508253038,1432,1432
1508255140,1428,1428
1508256972,1429,1429
1508257839,1428,1428
1508258739,1429,1429
1508260842,1431,1431
1508261306,1430,1430
1508262338,1430,1430
1508263844,1429,1429
1508265037,1429,1429
1508267434,1423,1423
1508268506,1423,1423
1508269535,1423,1423
1508270457,1422,1422
1508271267,1425,1425
1508273141,1421,1421
1508274644,1422,1422
1508276741,1418,1418
1508278845,1417,1417
1508280156,1415,1415
1508281835,1412,1412
1508283038,1412,1412
1508285445,1413,1413
1508286512,1414,1414
1508287538,1413,1413
1508289037,1412,1412
1508290110,1411,1411
1508291168,1408,1408
1508293527,1408,1408
1508294731,1405,1405
1508296237,1404,1404
1508298038,1403,1403
1508301118,1400,1400
1508303439,1399,1399
1508305245,1401,1401
1508306133,1401,1401
1508307039,1401,1401
1508310256,1400,1400
1508311240,1401,1401
1508313401,1397,1397
1508314250,1396,1396
1508315313,1395,1395
1508316132,1397,1397
1508317846,1396,1396
1508319034,1394,1394
1508319765,1366,1366
1508321690,1296,1296
1508322643,1293,1293
1508323540,1294,1294
1508324350,1296,1296
1508326968,1296,1296
1508328065,1296,1296
1508328941,1298,1298
1508329833,1297,1297
1508330692,1299,1299
1508331540,1301,1301
1508332533,1301,1301
