DateTime,AddedIPs,RemovedIPs
1508377341,36,25
1508378732,64,66
1508379623,47,0
1508380105,21,1
1508380942,35,112
1508381776,25,2
1508382630,37,61
1508384719,92,116
1508385679,38,57
1508386458,32,0
1508387289,32,1
1508388319,34,115
1508389349,40,52
1508390419,43,3
1508390897,23,0
1508391925,55,137
1508393663,63,61
1508394520,31,1
1508395344,37,148
1508397031,75,59
1508399119,87,128
1508400629,73,78
1508401567,49,0
1508402431,36,136
1508404055,51,70
1508404977,45,1
1508405870,41,78
1508406138,20,24
1508407312,56,60
1508408059,37,3
1508408897,41,0
1508409920,46,95
1508410579,41,2
1508411426,43,90
1508412375,45,1
1508413224,44,102
1508415618,102,117
1508416774,60,130
1508417778,41,2
1508418629,48,80
1508419557,59,0
1508420423,39,90
1508421377,44,2
1508422241,38,89
1508423296,45,2
1508424188,34,133
1508426058,80,90
1508427740,62,95
1508429659,103,98
1508430621,46,98
1508431343,37,25
1508432660,73,69
1508433618,67,2
1508434516,61,82
1508435417,62,4
1508436629,75,94
1508438540,131,111
1508439659,61,59
1508440520,52,4
1508441423,43,78
1508442319,56,1
1508443801,97,89
1508444902,54,2
1508446518,106,109
1508447427,52,48
1508449341,83,91
1508451256,103,80
1508452099,43,2
1508453123,49,106
1508454627,71,54
1508456547,89,99
1508460024,160,163
1508461738,93,54
1508462059,14,1
1508463020,42,80
1508463739,38,29
1508465426,94,42
1508466497,50,1
1508467517,42,85
1508468659,63,48
1508469624,47,2
1508470099,23,2
1508471122,58,104
1508472622,81,52
1508473679,46,1
1508474718,47,90
1508475706,52,51
1508476456,37,0
1508477719,67,75
1508479829,108,82
1508480058,7,0
1508481406,66,67
1508482578,67,24
1508483428,35,43
1508487031,185,152
1508488097,58,3
1508489123,48,97
1508490222,53,57
1508491220,53,2
1508492421,60,91
1508493316,37,1
1508494120,38,38
1508494459,15,0
1508495272,48,0
1508496142,43,71
1508497263,49,86
1508498119,48,1
1508499017,44,79
1508499918,49,24
1508500921,40,67
1508501657,28,0
1508502622,38,85
1508503520,35,0
1508504456,46,87
1508505259,38,3
1508506225,37,75
1508506941,36,34
1508508578,74,63
1508509730,47,0
1508510684,34,113
1508511770,57,57
1508512823,50,1
1508513866,56,88
1508515829,111,86
1508516059,10,0
1508517319,64,73
1508518217,47,47
1508519657,71,65
1508520462,38,2
1508521304,41,114
1508522349,38,52
1508523260,44,7
1508525208,108,112
1508526105,39,48
1508526919,39,1
1508527821,36,76
1508528542,37,24
1508529377,34,2
1508530225,48,65
1508531186,49,2
1508532144,40,141
1508532981,36,1
1508533828,29,73
1508534812,44,2
1508537422,118,163
1508538496,38,1
1508539342,35,93
1508540375,51,48
1508541320,41,9
1508542221,34,62
1508543121,40,17
1508544628,78,41
1508545829,38,68
1508546722,41,29
1508548458,83,63
1508549395,41,82
1508550145,40,20
1508551137,30,42
1508552120,38,4
1508553319,56,68
1508554576,57,26
1508555427,32,57
1508556617,39,60
1508558258,74,22
1508559270,43,52
1508560114,41,2
1508561123,45,100
1508561780,35,1
1508562627,39,66
1508564384,83,93
1508566226,86,57
1508567572,52,73
1508568921,56,28
1508569828,42,54
1508571922,87,109
1508572584,34,1
1508573431,42,40
1508575520,88,123
1508576629,62,71
1508577617,49,4
1508578675,57,79
1508578939,11,29
1508580625,82,49
1508581516,34,0
1508582329,36,87
1508584227,87,98
1508585117,30,0
1508586021,39,78
1508586871,48,0
1508587824,49,90
1508589018,63,115
1508590372,53,30
1508591428,55,59
1508592502,49,1
1508593520,48,86
1508594492,37,79
1508595319,39,0
1508596220,35,73
1508597119,38,33
1508598859,81,75
1508599825,26,108
1508600633,36,2
1508601665,44,124
1508602460,36,0
1508603296,24,1
1508604318,39,145
1508605825,59,73
1508606875,34,0
1508609656,110,213
1508610497,29,0
1508611348,33,112
1508613029,62,73
1508614822,77,92
1508615717,31,1
1508616626,37,105
1508617560,30,1
1508618423,40,113
1508619329,31,1
1508620227,40,56
1508621307,42,1
1508622319,43,93
1508623341,55,94
1508624897,56,0
1508625739,39,112
1508626579,24,0
1508627429,34,53
1508629516,80,115
1508631022,51,61
1508632098,47,1
1508633120,29,119
1508634630,59,70
1508636538,71,124
1508638224,64,56
1508640319,71,110
1508640976,28,0
1508641812,28,59
1508642897,47,1
1508643923,45,105
1508645723,67,80
1508647340,51,114
1508648818,57,66
1508651032,66,124
1508651849,37,1
