DateTime,Entries,UniqueIPs
1508377341,11512,11512
1508378732,11510,11510
1508379623,11557,11557
1508380105,11577,11577
1508380942,11500,11500
1508381776,11523,11523
1508382630,11499,11499
1508384719,11475,11475
1508385679,11456,11456
1508386458,11488,11488
1508387289,11519,11519
1508388319,11438,11438
1508389349,11426,11426
1508390419,11466,11466
1508390897,11489,11489
1508391925,11407,11407
1508393663,11409,11409
1508394520,11439,11439
1508395344,11328,11328
1508397031,11344,11344
1508399119,11303,11303
1508400629,11298,11298
1508401567,11347,11347
1508402431,11247,11247
1508404055,11228,11228
1508404977,11272,11272
1508405870,11235,11235
1508406138,11231,11231
1508407312,11227,11227
1508408059,11261,11261
1508408897,11302,11302
1508409920,11253,11253
1508410579,11292,11292
1508411426,11245,11245
1508412375,11289,11289
1508413224,11231,11231
1508415618,11216,11216
1508416774,11146,11146
1508417778,11185,11185
1508418629,11153,11153
1508419557,11212,11212
1508420423,11161,11161
1508421377,11203,11203
1508422241,11152,11152
1508423296,11195,11195
1508424188,11096,11096
1508426058,11086,11086
1508427740,11053,11053
1508429659,11058,11058
1508430621,11006,11006
1508431343,11018,11018
1508432660,11022,11022
1508433618,11087,11087
1508434516,11066,11066
1508435417,11124,11124
1508436629,11105,11105
1508438540,11125,11125
1508439659,11127,11127
1508440520,11175,11175
1508441423,11140,11140
1508442319,11195,11195
1508443801,11203,11203
1508444902,11255,11255
1508446518,11252,11252
1508447427,11256,11256
1508449341,11248,11248
1508451256,11271,11271
1508452099,11312,11312
1508453123,11255,11255
1508454627,11272,11272
1508456547,11262,11262
1508460024,11259,11259
1508461738,11298,11298
1508462059,11311,11311
1508463020,11273,11273
1508463739,11282,11282
1508465426,11334,11334
1508466497,11383,11383
1508467517,11340,11340
1508468659,11355,11355
1508469624,11400,11400
1508470099,11421,11421
1508471122,11375,11375
1508472622,11404,11404
1508473679,11449,11449
1508474718,11406,11406
1508475706,11407,11407
1508476456,11444,11444
1508477719,11436,11436
1508479829,11462,11462
1508480058,11469,11469
1508481406,11468,11468
1508482578,11511,11511
1508483428,11503,11503
1508487031,11536,11536
1508488097,11591,11591
1508489123,11542,11542
1508490222,11538,11538
1508491220,11589,11589
1508492421,11558,11558
1508493316,11594,11594
1508494120,11594,11594
1508494459,11609,11609
1508495272,11657,11657
1508496142,11629,11629
1508497263,11592,11592
1508498119,11639,11639
1508499017,11604,11604
1508499918,11629,11629
1508500921,11602,11602
1508501657,11630,11630
1508502622,11583,11583
1508503520,11618,11618
1508504456,11577,11577
1508505259,11612,11612
1508506225,11574,11574
1508506941,11576,11576
1508508578,11587,11587
1508509730,11634,11634
1508510684,11555,11555
1508511770,11555,11555
1508512823,11604,11604
1508513866,11572,11572
1508515829,11597,11597
1508516059,11607,11607
1508517319,11598,11598
1508518217,11598,11598
1508519657,11604,11604
1508520462,11640,11640
1508521304,11567,11567
1508522349,11553,11553
1508523260,11590,11590
1508525208,11586,11586
1508526105,11577,11577
1508526919,11615,11615
1508527821,11575,11575
1508528542,11588,11588
1508529377,11620,11620
1508530225,11603,11603
1508531186,11650,11650
1508532144,11549,11549
1508532981,11584,11584
1508533828,11540,11540
1508534812,11582,11582
1508537422,11537,11537
1508538496,11574,11574
1508539342,11516,11516
1508540375,11519,11519
1508541320,11551,11551
