DateTime,AddedIPs,RemovedIPs
1508434095,187,239
1508435065,187,223
1508436034,190,263
1508436977,221,219
1508437963,207,214
1508438894,167,165
1508439874,316,412
1508440827,260,223
1508441785,171,26
1508442743,274,406
1508443699,169,16
1508444654,164,192
1508445639,239,503
1508446572,204,25
1508447556,165,235
1508448497,151,186
1508450499,376,600
1508451613,202,44
1508452579,155,204
1508453539,248,437
1508454491,154,24
1508455470,182,171
1508456424,190,212
1508457372,203,170
1508458344,186,201
1508459291,211,158
1508460259,218,186
1508461230,191,209
1508462190,178,189
1508463152,192,173
1508464101,166,246
1508465316,230,207
1508466283,195,179
1508467225,177,242
1508468173,179,217
1508469259,203,185
1508470344,214,192
1508471296,153,173
1508472272,213,226
1508473217,144,162
1508474184,182,164
1508475142,185,276
1508476103,206,190
1508477054,188,158
1508478029,202,173
1508478974,181,184
1508479964,199,193
1508480895,186,154
1508481872,188,187
1508482840,223,195
1508483800,142,190
1508484738,231,175
1508485709,204,165
1508486677,184,209
1508487975,262,364
1508489065,203,185
1508490032,162,184
1508490981,169,160
1508491957,177,133
1508492909,149,211
1508493878,208,203
1508494823,208,143
1508495783,186,203
1508496751,198,208
1508497717,164,162
1508498661,140,171
1508499614,176,203
1508500597,174,169
1508501542,209,183
1508502504,180,166
1508503476,205,206
1508504440,228,213
1508505382,173,284
1508506352,224,177
1508507308,167,206
1508508280,229,194
1508509226,159,177
1508510197,189,204
1508511175,208,196
1508512121,210,207
1508513057,170,178
1508514016,213,183
1508515010,209,192
1508515957,235,234
1508516899,209,215
1508517860,241,274
1508518844,196,252
1508519786,205,239
1508520754,229,238
1508521696,165,183
1508522675,254,238
1508523630,197,223
1508525343,363,447
1508526264,185,31
1508527235,205,439
1508528172,179,26
1508529169,290,451
1508530095,200,25
1508531064,285,347
1508532023,237,30
1508532989,197,365
1508533954,241,28
1508534898,238,521
1508535866,158,48
1508536855,202,25
1508537791,240,207
1508538807,183,158
1508539709,257,200
1508540687,182,221
1508541625,171,174
1508542575,192,146
1508543553,198,194
1508544502,191,189
1508545500,241,194
1508546427,201,204
1508547392,171,201
1508548346,210,220
1508549303,191,205
1508550269,207,145
1508551227,209,255
1508552199,220,193
1508553137,209,138
1508554125,181,187
1508555063,228,179
1508556018,183,204
1508556982,243,131
1508557943,195,193
1508558894,183,169
1508559885,198,190
1508560823,196,145
1508561778,205,169
1508562761,181,186
1508563700,146,175
1508564660,144,174
1508565723,134,174
1508566809,151,182
1508567757,266,212
1508568757,225,217
1508569865,176,212
1508570775,189,227
1508571742,144,211
1508572832,214,202
1508574111,233,305
1508575112,162,218
1508576059,145,205
1508577040,173,164
1508577985,203,204
1508579053,177,144
1508580019,195,168
1508580999,175,181
1508581938,196,181
1508582904,169,186
1508583856,180,175
1508584820,136,132
1508585781,106,189
1508586728,171,193
1508587699,138,206
1508588665,143,160
1508589614,171,156
1508590584,200,235
1508591545,195,157
1508592508,169,173
1508593459,167,161
1508594424,171,190
1508595396,173,160
1508596339,154,168
1508597298,165,162
1508598275,134,194
1508599258,163,140
1508600174,150,226
1508601172,211,211
1508602096,158,207
1508603068,206,184
1508604024,190,185
1508604977,165,179
1508605965,165,239
1508606898,156,199
1508607858,163,153
1508608845,188,216
1508609811,201,181
1508610755,168,320
1508611695,145,18
1508612673,185,335
1508613645,198,216
1508614575,140,198
1508615543,146,26
1508616505,165,371
1508617480,203,227
1508618425,135,213
1508619376,148,24
1508620362,224,452
1508621309,158,176
1508622265,107,24
1508623231,192,220
1508624197,177,353
1508625392,185,192
1508626344,194,206
1508627302,182,139
1508628253,155,219
1508629239,170,203
1508630181,154,243
1508631155,204,247
1508632102,156,196
1508633057,163,178
1508634013,219,254
1508634992,145,189
1508635938,173,204
1508636919,176,204
1508637864,188,221
1508638812,171,212
1508640038,205,255
1508640996,206,268
1508641938,230,177
1508642910,187,220
1508643860,178,216
1508644834,184,234
1508645802,147,218
1508646738,151,167
1508647709,187,169
1508648688,163,188
1508649630,158,162
1508650597,155,155
1508651546,171,172
1508652506,154,132
1508653465,198,317
1508654429,144,195
1508655371,177,209
1508656361,182,168
1508657294,141,177
1508658255,203,252
1508659239,211,234
1508660209,154,29
1508661150,170,191
1508662096,169,179
1508663073,156,180
1508664024,134,152
1508664988,161,141
1508665944,156,208
1508666897,146,194
1508667865,201,213
1508668834,166,165
1508669783,155,198
1508670738,171,218
1508671714,159,151
1508672657,164,198
1508673622,158,132
1508674599,136,131
1508675535,207,196
1508676511,159,161
1508678468,358,333
1508679403,191,229
1508680370,177,177
1508681294,136,196
1508682271,162,155
1508683237,203,184
1508684188,168,141
1508685138,122,162
1508686119,206,181
1508687069,127,168
1508688027,165,137
1508688994,165,177
1508689956,192,173
1508690921,151,198
1508691867,179,188
1508692817,158,141
1508693808,176,170
1508694750,176,159
1508695700,182,190
1508696657,179,175
1508697649,174,184
1508698599,175,185
1508699559,183,190
1508700505,180,170
1508701479,177,194
1508702513,197,157
1508703624,210,199
1508704581,182,156
1508705543,189,232
1508706772,268,330
1508707695,108,21
1508708658,196,190
1508709637,215,320
1508710593,173,33
1508711506,152,184
1508712502,209,243
1508713467,181,156
1508714436,194,164
1508715377,184,215
1508716355,187,176
1508717306,197,190
1508718516,232,288
1508719457,185,25
1508720441,214,391
1508721404,188,208
1508722368,186,176
1508723296,172,20
1508724265,175,315
1508725223,189,212
1508726210,143,18
1508727386,209,197
1508728351,226,358
1508729292,178,27
1508730256,192,163
1508731243,180,385
1508732189,157,24
1508733136,167,159
1508734117,213,307
1508735065,176,19
1508736013,175,166
1508736995,187,169
1508737944,170,161
1508738893,213,157
1508739875,161,300
1508740816,182,25
1508741789,186,372
1508742751,169,20
1508743692,176,131
1508744666,219,325
1508745659,179,206
1508746582,167,24
1508747553,168,315
1508748497,167,163
1508749482,213,155
1508750413,163,22
1508751384,180,150
1508752341,162,155
1508753338,210,333
1508754268,173,152
1508756475,416,312
1508757424,183,154
1508759056,281,208
1508760011,218,184
1508760995,178,138
1508761939,175,316
1508762910,158,17
1508763865,274,324
1508764819,153,16
1508765783,194,168
1508766763,167,169
1508767693,169,184
1508768678,215,302
1508769624,188,26
1508770571,206,187
1508771555,217,281
1508772495,123,25
1508773454,192,107
1508774444,230,279
1508775380,168,20
1508776355,197,189
1508777305,165,142
1508778261,197,156
1508779225,233,308
1508780209,179,137
1508781149,196,30
1508782097,221,172
1508783067,216,317
1508784025,207,25
1508784972,202,178
1508785959,173,178
1508786892,195,198
1508787880,204,178
1508788828,255,187
1508789781,204,198
1508790749,214,170
1508791706,244,203
1508792672,188,203
1508793623,201,154
1508794673,228,208
1508795779,204,182
1508796731,215,175
1508797700,186,168
1508798667,209,187
1508799636,208,209
1508800583,187,194
1508801549,185,188
1508802496,208,200
1508803474,209,232
1508804675,233,224
1508805624,213,176
1508806575,273,218
1508807809,298,397
1508808753,192,25
1508809696,215,206
1508810912,289,340
1508811853,215,152
1508812826,196,208
1508813782,157,17
1508814758,231,333
1508815692,179,30
1508816655,194,148
1508817753,232,335
1508818824,212,151
1508819783,163,168
1508820741,188,173
1508821690,206,173
1508822664,174,191
1508823625,164,197
1508824572,180,194
1508825557,183,155
1508826509,185,207
1508827459,187,187
1508829663,411,345
1508830608,144,204
1508831542,189,211
1508832505,213,220
1508833459,154,164
1508834426,195,178
1508835393,178,182
1508836335,169,146
1508837307,200,173
1508838271,140,158
1508839232,194,167
1508840180,198,150
1508841163,222,367
1508842116,181,26
1508843064,188,196
1508844027,179,258
1508844990,179,30
1508845986,189,183
1508846895,219,180
1508847868,155,143
1508848931,193,169
1508850037,220,231
1508850981,191,145
1508851950,167,201
1508852896,175,179
1508853900,180,164
1508854825,156,155
1508855783,155,165
1508856744,159,181
1508857742,172,204
1508858654,126,121
1508859614,148,176
1508860582,179,196
1508861670,186,171
1508862599,180,192
1508863569,152,166
1508864685,188,351
1508865971,258,161
1508866940,136,186
1508867922,188,211
1508868868,178,217
1508870938,334,422
1508872101,191,187
1508873063,168,203
1508874040,176,180
1508875239,228,381
1508876435,181,211
1508877399,180,248
1508878360,193,185
1508879308,163,243
1508880260,195,238
1508881215,182,205
1508882207,210,181
1508883136,191,206
1508884108,187,241
1508885054,139,16
1508886065,241,405
1508887001,191,210
1508887943,152,30
1508888918,249,486
1508889881,214,238
1508890833,162,19
1508891787,165,203
1508892744,250,291
1508893735,172,259
1508894669,211,194
1508895616,234,186
1508896590,162,237
1508897558,193,191
1508898512,180,174
1508899460,170,160
1508900417,200,220
1508901405,153,210
1508902368,221,214
1508903430,197,236
1508904511,210,261
1508905478,216,152
1508906413,183,173
1508907387,183,189
1508908346,148,157
1508909313,161,197
1508910256,171,169
1508911236,178,178
1508912193,169,191
1508913161,193,207
1508914111,205,427
1508915075,160,25
1508916013,126,24
1508917002,186,176
1508917933,177,190
1508918919,135,340
1508919854,142,29
1508920842,159,382
1508921790,121,20
1508922738,178,361
1508923716,155,172
1508924676,151,196
1508925644,155,171
1508926601,157,175
