DateTime,Entries,UniqueIPs
1508434095,64974,64974
1508435065,64969,64969
1508436034,64966,64966
1508436977,65025,65025
1508437963,65001,65001
1508438894,65050,65050
1508439874,65071,65071
1508440827,65103,65103
1508441785,65153,65153
1508442743,65121,65121
1508443699,65165,65165
1508444654,65174,65174
1508445639,65106,65106
1508446572,65054,65054
1508447556,65007,65007
1508448497,64950,64950
1508450499,64898,64898
1508451613,64949,64949
1508452579,64952,64952
1508453539,64954,64954
1508454491,64943,64943
1508455470,64948,64948
1508456424,64927,64927
1508457372,64901,64901
1508458344,64860,64860
1508459291,64857,64857
1508460259,64855,64855
1508461230,64861,64861
1508462190,64837,64837
1508463152,64839,64839
1508464101,64858,64858
1508465316,64891,64891
1508466283,64903,64903
1508467225,64899,64899
1508468173,64880,64880
1508469259,64897,64897
1508470344,64891,64891
1508471296,64819,64819
1508472272,64867,64867
1508473217,64808,64808
1508474184,64858,64858
1508475142,64852,64852
1508476103,64848,64848
1508477054,64885,64885
1508478029,64764,64764
1508478974,64814,64814
1508479964,64764,64764
1508480895,64814,64814
1508481872,64763,64763
1508482840,64785,64785
1508483800,64776,64776
1508484738,64833,64833
1508485709,64798,64798
1508486677,64819,64819
1508487975,64836,64836
1508489065,64833,64833
1508490032,64799,64799
1508490981,64806,64806
1508491957,64811,64811
1508492909,64811,64811
1508493878,64837,64837
1508494823,64860,64860
1508495783,64870,64870
1508496751,64877,64877
1508497717,64898,64898
1508498661,64864,64864
1508499614,64896,64896
1508500597,64918,64918
1508501542,64930,64930
1508502504,64919,64919
1508503476,64952,64952
1508504440,64959,64959
1508505382,64961,64961
1508506352,64976,64976
1508507308,64976,64976
1508508280,65001,65001
1508509226,64985,64985
1508510197,65011,65011
1508511175,65039,65039
1508512121,65069,65069
1508513057,65104,65104
1508514016,65077,65077
1508515010,65130,65130
1508515957,65162,65162
1508516899,65153,65153
1508517860,65140,65140
1508518844,65123,65123
1508519786,65119,65119
1508520754,65137,65137
1508521696,65137,65137
1508522675,65118,65118
1508523630,65127,65127
1508525343,65142,65142
1508526264,65200,65200
1508527235,65192,65192
1508528172,65223,65223
1508529169,65225,65225
1508530095,65281,65281
1508531064,65269,65269
1508532023,65231,65231
1508532989,65258,65258
1508533954,65218,65218
1508534898,65257,65257
1508535866,65250,65250
1508536855,65201,65201
1508537791,65245,65245
1508538807,65214,65214
1508539709,65240,65240
1508540687,65274,65274
1508541625,65273,65273
1508542575,65314,65314
1508543553,65253,65253
1508544502,65289,65289
1508545500,65279,65279
1508546427,65233,65233
1508547392,65193,65193
1508548346,65246,65246
1508549303,65223,65223
1508550269,65273,65273
1508551227,65282,65282
1508552199,65288,65288
1508553137,65318,65318
1508554125,65345,65345
1508555063,65374,65374
1508556018,65388,65388
1508556982,65426,65426
1508557943,65443,65443
1508558894,65468,65468
1508559885,65523,65523
1508560823,65563,65563
1508561778,65570,65570
1508562761,65579,65579
1508563700,65562,65562
1508564660,65515,65515
1508565723,65415,65415
1508566809,65366,65366
1508567757,65362,65362
1508568757,65369,65369
1508569865,65370,65370
1508570775,65361,65361
1508571742,65314,65314
1508572832,65322,65322
1508574111,65309,65309
1508575112,65294,65294
1508576059,65275,65275
1508577040,65288,65288
1508577985,65286,65286
1508579053,65294,65294
1508580019,65274,65274
1508580999,65283,65283
1508581938,65341,65341
1508582904,65355,65355
1508583856,65373,65373
1508584820,65361,65361
1508585781,65341,65341
1508586728,65341,65341
1508587699,65326,65326
1508588665,65313,65313
1508589614,65303,65303
1508590584,65327,65327
1508591545,65319,65319
1508592508,65322,65322
1508593459,65320,65320
1508594424,65307,65307
1508595396,65304,65304
1508596339,65318,65318
1508597298,65324,65324
1508598275,65337,65337
1508599258,65360,65360
1508600174,65375,65375
1508601172,65374,65374
1508602096,65370,65370
1508603068,65373,65373
1508604024,65392,65392
1508604977,65407,65407
1508605965,65430,65430
1508606898,65448,65448
1508607858,65458,65458
1508608845,65464,65464
1508609811,65453,65453
1508610755,65437,65437
1508611695,65450,65450
1508612673,65472,65472
1508613645,65483,65483
1508614575,65491,65491
1508615543,65463,65463
1508616505,65421,65421
