DateTime,Entries,UniqueIPs
1508434093,8234,8298
1508435062,8232,8296
1508436032,8229,8293
1508436975,8238,8302
1508437961,8217,8281
1508438891,8228,8292
1508439871,8218,8282
1508440825,8221,8284
1508441782,8226,8289
1508442741,8215,8278
1508443696,8221,8284
1508444652,8226,8289
1508445637,8220,8282
1508446569,8215,8277
1508447554,8192,8254
1508448495,8148,8210
1508450496,8123,8185
1508451611,8137,8199
1508452577,8135,8196
1508453537,8136,8197
1508454489,8135,8196
1508455468,8130,8191
1508456421,8131,8192
1508457370,8120,8181
1508458342,8092,8153
1508459289,8090,8150
1508460257,8075,8135
1508461228,8068,8128
1508462187,8055,8115
1508463150,8055,8115
1508464099,8064,8124
1508465313,8081,8141
1508466280,8082,8142
1508467223,8095,8155
1508468170,8095,8155
1508469257,8103,8163
1508470342,8109,8169
1508471293,8106,8166
1508472269,8112,8172
1508473215,8089,8149
1508474181,8102,8162
1508475140,8102,8161
1508476101,8098,8157
1508477052,8108,8167
1508478026,8100,8159
1508478972,8111,8170
1508479962,8107,8166
1508480893,8116,8175
1508481870,8113,8172
1508482837,8109,8168
1508483797,8098,8157
1508484736,8115,8174
1508485707,8106,8165
1508486675,8106,8165
1508487972,8111,8168
1508489062,8106,8163
1508490030,8099,8156
1508490979,8100,8157
1508491955,8106,8163
1508492907,8112,8170
1508493875,8127,8185
1508494821,8136,8195
1508495781,8146,8206
1508496747,8140,8200
1508497715,8144,8204
1508498659,8141,8202
1508499611,8148,8209
1508500594,8159,8220
1508501540,8160,8220
1508502501,8167,8228
1508503474,8188,8249
1508504437,8191,8252
1508505380,8191,8252
1508506350,8186,8247
1508507305,8185,8246
1508508278,8189,8250
1508509223,8184,8245
1508510195,8189,8250
1508511173,8183,8243
1508512119,8183,8243
1508513054,8191,8250
1508514013,8191,8250
1508515008,8199,8259
1508515954,8194,8254
1508516896,8183,8239
1508517857,8173,8228
1508518842,8165,8220
1508519784,8156,8210
1508520751,8143,8197
1508521694,8139,8193
1508522672,8132,8186
1508523628,8131,8185
1508525341,8127,8181
1508526261,8132,8186
1508527232,8123,8177
1508528170,8115,8169
1508529167,8109,8162
1508530093,8119,8172
1508531062,8121,8174
1508532021,8120,8173
1508532987,8117,8170
1508533951,8114,8167
1508534895,8119,8172
1508535863,8122,8175
1508536853,8118,8171
1508537788,8129,8182
1508538805,8125,8178
1508539706,8127,8180
1508540685,8132,8185
1508541622,8122,8175
1508542573,8127,8180
1508543551,8110,8163
1508544499,8120,8173
1508545497,8115,8168
1508546424,8083,8136
1508547390,8069,8122
1508548344,8084,8137
1508549301,8072,8125
1508550267,8098,8152
1508551224,8103,8157
1508552196,8115,8169
1508553135,8120,8174
1508554123,8122,8176
1508555061,8122,8176
