DateTime,AddedIPs,RemovedIPs
1508434093,12,4
1508435062,6,13
1508436032,11,9
1508436975,9,12
1508437961,5,9
1508438891,11,4
1508439871,6,8
1508440825,10,4
1508441782,5,8
1508442741,7,9
1508443696,6,5
1508444652,9,11
1508445637,5,8
1508446569,5,3
1508447554,5,8
1508448495,6,5
1508450496,12,15
1508451611,14,6
1508452577,8,2
1508453537,7,3
1508454489,15,6
1508455468,8,11
1508456421,11,7
1508457370,9,12
1508458342,10,28
1508459289,16,26
1508460257,22,22
1508461228,27,19
1508462187,27,27
1508463150,19,25
1508464099,20,16
1508465313,33,24
1508466280,15,16
1508467223,28,12
1508468170,12,14
1508469257,16,12
1508470342,21,21
1508471293,13,15
1508472269,17,15
1508473215,15,12
1508474181,13,13
1508475140,16,10
1508476101,15,12
1508477052,10,13
1508478026,18,15
1508478972,11,12
1508479962,16,14
1508480893,9,10
1508481870,13,11
1508482837,11,15
1508483797,5,11
1508484736,17,16
1508485707,12,11
1508486675,9,10
1508487972,20,26
1508489062,14,16
1508490030,9,10
1508490979,12,11
1508491955,18,29
1508492907,20,16
1508493875,28,5
1508494821,24,25
1508495781,23,30
1508496747,13,28
1508497715,9,21
1508498659,13,22
1508499611,7,15
1508500594,21,12
1508501540,17,10
1508502501,21,12
1508503474,27,16
1508504437,16,14
1508505380,13,15
1508506350,14,8
1508507305,12,11
1508508278,12,12
1508509223,9,6
1508510195,12,7
1508511173,10,5
1508512119,7,8
1508513054,11,13
1508514013,12,7
1508515008,9,7
1508515954,5,8
1508516896,3,7
1508517857,4,2
1508518842,7,2
1508519784,3,6
1508520751,6,2
1508521694,5,2
1508522672,6,5
1508523628,6,4
1508525341,13,12
1508526261,5,8
1508527232,7,12
1508528170,7,8
1508529167,7,5
1508530093,10,9
1508531062,10,11
1508532021,9,6
1508532987,6,3
1508533951,8,7
1508534895,5,13
1508535863,6,10
1508536853,5,7
1508537788,11,5
1508538805,10,5
1508539706,6,5
1508540685,5,7
1508541622,6,9
1508542573,5,12
1508543551,15,14
1508544499,10,26
1508545497,15,32
1508546424,16,21
1508547390,15,23
1508548344,15,24
1508549301,22,26
1508550267,27,23
1508551224,19,17
