DateTime,Entries,UniqueIPs
1508434093,923,923
1508435062,916,916
1508436032,918,918
1508436975,915,915
1508437961,911,911
1508438891,918,918
1508439871,916,916
1508440825,922,922
1508441782,919,919
1508442741,917,917
1508443696,918,918
1508444652,916,916
1508445637,913,913
1508446569,915,915
1508447554,912,912
1508448495,913,913
1508450496,910,910
1508451611,918,918
1508452577,924,924
1508453537,928,928
1508454489,937,937
1508455468,934,934
1508456421,938,938
1508457370,935,935
1508458342,917,917
1508459289,907,907
1508460257,907,907
1508461228,915,915
1508462187,915,915
1508463150,909,909
1508464099,913,913
1508465313,922,922
1508466280,921,921
1508467223,937,937
1508468170,935,935
1508469257,939,939
1508470342,939,939
1508471293,937,937
1508472269,939,939
1508473215,942,942
1508474181,942,942
1508475140,948,948
1508476101,951,951
1508477052,948,948
1508478026,951,951
1508478972,950,950
1508479962,952,952
1508480893,951,951
1508481870,953,953
1508482837,949,949
1508483797,943,943
1508484736,944,944
1508485707,945,945
1508486675,944,944
1508487972,938,938
1508489062,936,936
1508490030,935,935
1508490979,936,936
1508491955,925,925
1508492907,929,929
1508493875,952,952
1508494821,951,951
1508495781,944,944
1508496747,929,929
1508497715,917,917
1508498659,908,908
1508499611,900,900
1508500594,909,909
1508501540,916,916
1508502501,925,925
1508503474,936,936
1508504437,938,938
1508505380,936,936
1508506350,942,942
1508507305,943,943
1508508278,943,943
1508509223,946,946
1508510195,951,951
1508511173,956,956
1508512119,955,955
1508513054,953,953
1508514013,958,958
1508515008,960,960
1508515954,957,957
1508516896,953,953
1508517857,955,955
1508518842,960,960
1508519784,957,957
1508520751,961,961
1508521694,964,964
1508522672,965,965
1508523628,967,967
1508525341,968,968
1508526261,965,965
1508527232,960,960
1508528170,959,959
1508529167,961,961
1508530093,962,962
1508531062,961,961
1508532021,964,964
1508532987,967,967
1508533951,968,968
1508534895,960,960
1508535863,956,956
1508536853,954,954
1508537788,960,960
1508538805,965,965
1508539706,966,966
1508540685,964,964
1508541622,961,961
1508542573,954,954
1508543551,955,955
1508544499,939,939
1508545497,922,922
1508546424,917,917
1508547390,909,909
1508548344,900,900
1508549301,896,896
1508550267,900,900
1508551224,902,902
1508552196,909,909
1508553135,910,910
1508554123,910,910
1508555061,912,912
1508556016,910,910
1508556979,917,917
1508557940,913,913
1508558892,916,916
1508559882,920,920
1508560820,926,926
1508561776,923,923
1508562759,922,922
1508563697,920,920
1508564657,918,918
1508565721,917,917
1508566806,915,915
1508567753,911,911
1508568755,909,909
1508569863,915,915
1508570772,911,911
1508571740,910,910
1508572830,905,905
1508574108,900,900
1508575110,887,887
1508576056,891,891
1508577037,891,891
1508577982,892,892
1508579050,899,899
1508580016,872,872
1508580996,869,869
1508581935,865,865
1508582901,863,863
1508583854,851,851
1508584818,820,820
1508585778,813,813
1508586726,810,810
1508587697,805,805
1508588662,801,801
1508589611,797,797
1508590582,799,799
1508591542,804,804
1508592506,800,800
1508593457,799,799
1508594422,803,803
1508595394,795,795
1508596337,796,796
1508597295,790,790
1508598272,788,788
1508599256,789,789
1508600171,786,786
1508601169,781,781
1508602093,774,774
1508603066,771,771
1508604022,769,769
1508604975,761,761
1508605963,760,760
1508606895,759,759
1508607856,758,758
1508608843,759,759
1508609808,762,762
1508610753,758,758
