DateTime,AddedIPs,RemovedIPs
1508434095,39,21
1508435065,47,33
1508436034,50,26
1508436977,100,18
1508437963,64,16
1508438894,46,3
1508439874,65,36
1508440827,77,141
1508441785,55,199
1508442743,50,94
1508443699,46,39
1508444654,25,37
1508445639,43,49
1508446572,40,28
1508447556,35,39
1508448497,25,40
1508450499,68,82
1508451613,43,49
1508452579,27,46
1508453539,49,47
1508454491,29,35
1508455470,39,38
1508456424,23,24
1508457372,41,43
1508458344,23,35
1508459291,42,44
1508460259,30,32
1508461230,29,45
1508462190,34,36
1508463152,38,29
1508464101,30,48
1508465316,42,35
1508466283,35,34
1508467225,31,29
1508468173,26,34
1508469259,40,25
1508470344,28,29
1508471296,15,35
1508472272,45,47
1508473217,33,35
1508474184,36,31
1508475142,36,45
1508476103,43,34
1508477054,40,46
1508478029,41,34
1508478974,35,40
1508479964,40,49
1508480895,37,38
1508481872,45,25
1508482840,51,64
1508483800,36,54
1508484738,34,41
1508485709,36,51
1508486677,40,55
1508487975,55,58
1508489065,33,39
1508490032,28,45
1508490981,37,38
1508491957,41,40
1508492909,35,43
1508493878,46,44
1508494823,48,46
1508495783,42,42
1508496751,48,43
1508497717,42,35
1508498661,39,44
1508499614,41,45
1508500597,64,83
1508501542,73,0
1508502504,33,40
1508503476,46,41
1508504440,54,37
1508505382,42,61
1508506352,47,40
1508507308,30,47
1508508280,58,39
1508509226,27,50
1508510197,43,29
1508511175,54,51
1508512121,66,38
1508513057,56,47
1508514016,54,32
1508515010,75,41
1508515957,79,46
1508516899,59,44
1508517860,37,41
1508518844,41,65
1508519786,43,55
1508520754,49,71
1508521696,32,56
1508522675,40,49
1508523630,31,0
1508525343,60,94
1508526264,45,37
1508527235,28,26
1508528172,45,37
1508529169,46,30
1508530095,45,46
1508531064,57,35
1508532023,47,48
1508532989,32,52
1508533954,48,33
1508534898,31,27
1508535866,21,52
1508536855,38,47
1508537791,37,49
1508538807,21,33
1508539709,33,44
1508540687,37,31
1508541625,33,34
1508542575,35,48
1508543553,26,42
1508544502,37,40
1508545500,48,35
1508546427,29,42
1508547392,26,38
1508548346,36,43
1508549303,19,45
1508550269,40,51
1508551227,35,29
1508552199,43,45
1508553137,30,34
1508554125,28,35
1508555063,38,37
1508556018,28,37
1508556982,48,0
1508557943,34,77
1508558894,32,0
1508559885,37,89
1508560823,32,24
1508561778,33,0
1508562761,27,57
1508563700,29,31
1508564660,21,30
1508565723,33,30
1508566809,26,32
1508567757,65,22
1508568757,53,31
1508569865,28,38
1508570775,41,32
1508571742,24,48
1508572832,30,45
1508574111,44,45
1508575112,29,40
1508576059,25,40
1508577040,34,44
1508577985,43,39
1508579053,25,35
1508580019,40,51
1508580999,41,88
1508581938,53,0
1508582904,37,102
1508583856,50,0
1508584820,41,31
1508585781,24,45
1508586728,47,39
1508587699,37,38
1508588665,47,48
1508589614,44,83
1508590584,36,0
1508591545,28,66
1508592508,35,95
1508593459,38,0
1508594424,31,69
1508595396,39,24
1508596339,40,36
1508597298,35,44
1508598275,38,41
1508599258,48,44
1508600174,43,37
1508601172,45,35
1508602096,34,26
1508603068,40,56
1508604024,37,53
1508604977,47,42
1508605965,39,38
1508606898,31,46
1508607858,29,44
1508608845,35,43
1508609811,55,35
1508610755,27,46
1508611695,27,52
1508612673,40,43
1508613645,26,27
1508614575,23,39
1508615543,23,40
1508616505,25,33
1508617480,33,37
1508618425,23,35
1508619376,28,50
1508620362,41,40
1508621309,32,33
1508622265,20,38
1508623231,27,32
1508624197,29,51
1508625392,27,35
1508626344,33,48
1508627302,34,103
1508628253,21,64
1508629239,31,42
1508630181,19,0
1508631155,34,72
1508632102,22,78
1508633057,16,0
1508634013,43,16
1508634992,30,17
1508635938,34,0
1508636919,26,24
1508637864,27,11
1508638812,16,0
1508640038,23,19
1508640996,27,3
1508641938,28,7
1508642910,27,13
1508643860,27,8
1508644834,34,4
1508645802,22,57
1508646738,16,77
1508647709,34,79
1508648688,42,83
1508649630,33,100
1508650597,30,183
1508651546,31,211
1508652506,24,73
1508653465,32,40
1508654429,22,45
1508655371,34,43
1508656361,25,49
1508657294,23,33
1508658255,39,33
1508659239,26,32
1508660209,28,45
1508661150,25,44
1508662096,27,38
1508663073,31,39
1508664024,26,22
1508664988,33,36
1508665944,29,22
1508666897,19,30
1508667865,40,27
1508668834,36,50
1508669783,26,34
1508670738,45,29
1508671714,37,47
1508672657,44,40
1508673622,30,41
1508674599,32,35
1508675535,38,36
1508676511,42,40
1508678468,92,71
1508679403,34,37
1508680370,34,30
1508681294,28,43
1508682271,43,21
1508683237,39,31
1508684188,43,39
1508685138,32,37
1508686119,54,33
1508687069,21,32
1508688027,37,49
1508688994,33,37
1508689956,40,31
1508690921,32,26
1508691867,30,38
1508692817,34,55
1508693808,31,61
1508694750,42,38
1508695700,26,37
1508696657,42,36
1508697649,34,36
1508698599,24,38
1508699559,39,47
1508700505,28,33
1508701479,29,64
1508702513,34,50
1508703624,38,0
1508704581,32,45
1508705543,33,40
1508706772,50,73
1508707695,14,0
1508708658,20,42
1508709637,28,58
1508710593,30,23
1508711506,19,0
1508712502,41,97
1508713467,26,0
1508714436,28,63
1508715377,19,0
1508716355,32,92
1508717306,27,0
1508718516,20,60
1508719457,32,36
1508720441,32,43
1508721404,34,32
1508722368,29,26
1508723296,36,0
1508724265,35,88
1508725223,26,0
1508726210,28,40
1508727386,36,76
1508728351,28,22
1508729292,33,0
1508730256,33,25
1508731243,32,66
1508732189,25,0
1508733136,30,27
1508734117,35,68
1508735065,34,66
1508736013,35,0
1508736995,27,0
1508737944,28,0
1508738893,30,0
1508739875,31,47
1508740816,29,38
1508741789,31,34
1508742751,41,27
1508743692,40,46
1508744666,31,30
1508745659,29,28
1508746582,34,45
