DateTime,AddedIPs,RemovedIPs
1508434095,678,678
1508435065,842,842
1508436034,636,636
1508436977,813,813
1508437963,739,739
1508438894,545,545
1508439874,1007,1007
1508440827,858,858
1508441785,691,691
1508442743,858,858
1508443699,733,733
1508444654,603,603
1508445639,705,705
1508446572,831,831
1508447556,660,660
1508448497,631,631
1508450499,1448,1448
1508451613,854,854
1508452579,643,643
1508453539,818,818
1508454491,738,738
1508455470,652,652
1508456424,660,660
1508457372,742,742
1508458344,615,615
1508459291,714,714
1508460259,740,740
1508461230,761,761
1508462190,706,706
1508463152,753,753
1508464101,620,620
1508465316,988,988
1508466283,751,751
1508467225,631,631
1508468173,753,753
1508469259,772,772
1508470344,839,839
1508471296,552,552
1508472272,787,787
1508473217,591,591
1508474184,784,784
1508475142,606,606
1508476103,791,791
1508477054,697,697
1508478029,766,766
1508478974,756,756
1508479964,679,679
1508480895,689,689
1508481872,730,730
1508482840,792,792
1508483800,630,630
1508484738,815,815
1508485709,735,735
1508486677,660,660
1508487975,1050,1050
1508489065,803,803
1508490032,733,733
1508490981,675,675
1508491957,752,752
1508492909,517,517
1508493878,769,769
1508494823,744,744
1508495783,632,632
1508496751,793,793
1508497717,649,649
1508498661,552,552
1508499614,737,737
1508500597,760,760
1508501542,850,850
1508502504,667,667
1508503476,687,687
1508504440,873,873
1508505382,702,702
1508506352,836,836
1508507308,655,655
1508508280,830,830
1508509226,646,646
1508510197,759,759
1508511175,659,659
1508512121,805,805
1508513057,574,574
1508514016,755,755
1508515010,781,781
1508515957,831,831
1508516899,702,702
1508517860,778,778
1508518844,711,711
1508519786,846,846
1508520754,805,805
1508521696,600,600
1508522675,905,905
1508523630,681,681
1508525343,1230,1230
1508526264,792,792
1508527235,629,629
1508528172,760,760
1508529169,831,831
1508530095,650,650
1508531064,811,811
1508532023,813,813
1508532989,682,682
1508533954,976,976
1508534898,651,651
1508535866,715,715
1508536855,876,876
1508537791,761,761
1508538807,693,693
1508539709,865,865
1508540687,740,740
1508541625,567,567
1508542575,783,783
1508543553,714,714
1508544502,792,792
1508545500,809,809
1508546427,689,689
1508547392,671,671
1508548346,890,890
1508549303,619,619
1508550269,766,766
1508551227,750,750
1508552199,776,776
1508553137,741,741
1508554125,763,763
1508555063,832,832
1508556018,707,707
1508556982,887,887
1508557943,714,714
1508558894,745,745
1508559885,775,775
1508560823,647,647
1508561778,755,755
1508562761,802,802
1508563700,530,530
1508564660,589,589
1508565723,582,582
1508566809,600,600
1508567757,1211,1211
1508568757,867,867
1508569865,736,736
1508570775,690,690
1508571742,648,648
1508572832,914,914
1508574111,907,907
1508575112,725,725
1508576059,694,694
1508577040,701,701
1508577985,769,769
1508579053,576,576
1508580019,782,782
1508580999,731,731
1508581938,714,714
1508582904,648,648
1508583856,766,766
1508584820,669,669
1508585781,587,587
1508586728,739,739
1508587699,582,582
1508588665,665,665
1508589614,709,709
1508590584,723,723
1508591545,732,732
1508592508,583,583
1508593459,783,783
1508594424,701,701
1508595396,753,753
1508596339,679,679
1508597298,806,806
1508598275,616,616
1508599258,734,734
1508600174,646,646
1508601172,800,800
1508602096,533,533
1508603068,731,731
1508604024,765,765
1508604977,738,738
1508605965,740,740
1508606898,625,625
1508607858,695,695
1508608845,651,651
1508609811,803,803
1508610755,667,667
1508611695,664,664
1508612673,753,753
1508613645,789,789
1508614575,624,624
1508615543,780,780
1508616505,597,597
1508617480,831,831
1508618425,671,671
1508619376,755,755
1508620362,764,764
1508621309,616,616
1508622265,621,621
1508623231,745,745
1508624197,692,692
1508625392,795,795
1508626344,842,842
1508627302,651,651
1508628253,608,608
1508629239,800,800
1508630181,651,651
1508631155,809,809
1508632102,602,602
1508633057,579,579
1508634013,817,817
1508634992,624,624
1508635938,712,712
1508636919,648,648
1508637864,716,716
1508638812,600,600
1508640038,782,782
1508640996,786,786
1508641938,737,737
1508642910,751,751
1508643860,700,700
1508644834,795,795
1508645802,628,628
1508646738,613,613
1508647709,740,740
1508648688,613,613
1508649630,638,638
1508650597,719,719
1508651546,683,683
1508652506,584,584
1508653465,660,660
1508654429,596,596
1508655371,785,785
1508656361,699,699
1508657294,530,530
1508658255,753,753
1508659239,676,676
1508660209,709,709
1508661150,590,590
1508662096,758,758
1508663073,699,699
1508664024,543,543
1508664988,732,732
1508665944,615,615
1508666897,606,606
1508667865,832,832
1508668834,691,691
1508669783,559,559
1508670738,712,712
1508671714,568,568
1508672657,754,754
1508673622,718,718
1508674599,612,612
1508675535,682,682
1508676511,749,749
