DateTime,AddedIPs,RemovedIPs
1508591545,189,172
1508592508,169,187
1508593207,24,3
1508593459,181,155
1508593594,53,0
1508594424,169,201
1508595127,12,7
1508595396,163,173
1508596339,164,176
1508597087,11,4
1508597298,221,154
1508598275,117,199
1508599258,185,146
1508600174,169,219
1508600794,49,0
1508601172,212,220
1508602096,132,220
1508603068,205,225
1508604024,192,188
1508604394,52,0
1508604977,182,190
1508605460,15,0
1508605965,173,232
1508606898,154,214
1508607858,158,162
1508607994,47,0
1508608845,172,236
1508609811,200,196
1508610755,153,357
1508611695,226,9
1508612673,185,363
1508613645,200,223
1508614575,145,208
1508615193,112,0
1508615543,173,3
1508616505,148,396
1508617480,203,235
1508618425,136,216
1508618794,45,0
1508619376,177,12
1508620362,213,477
1508620813,42,42
1508621309,157,173
1508622265,149,10
1508622394,31,0
1508623231,188,233
1508624197,164,377
1508624899,27,0
1508625392,187,189
1508626089,22,3
1508626344,195,210
1508627302,174,149
1508628007,3,6
1508628253,147,218
1508629239,184,198
1508629593,31,0
1508629925,4,3
1508630181,147,238
1508631155,200,258
1508631855,7,2
1508632102,155,201
1508633057,149,194
1508633194,31,1371
1508633778,6,10
1508634013,212,264
1508634992,143,194
1508635699,12,9
1508635938,182,194
1508636919,194,203
1508637611,5,3
1508637864,183,241
1508638812,176,211
1508639531,8,5
1508640038,257,234
1508640394,36,0
1508640996,246,250
1508641470,11,7
1508641938,236,167
1508642910,193,233
1508643391,9,9
1508643860,173,251
1508643994,110,0
1508644834,196,251
1508645319,9,4
1508645802,156,225
1508646738,161,169
1508647211,6,3
1508647709,253,181
1508648688,165,202
1508649148,4,0
1508649630,166,167
1508650597,160,165
1508651194,38,0
1508651546,181,174
1508652506,146,149
1508652999,6,11
1508653465,180,326
1508654429,146,205
1508654902,50,12
1508655371,187,214
1508656361,186,185
1508656842,8,0
1508657294,148,190
1508658255,206,265
1508658394,40,0
1508658767,4,2
1508659239,196,260
1508660209,174,21
1508660669,5,0
1508661150,169,192
1508662096,236,177
1508662571,3,2
1508663073,167,181
1508664024,127,164
1508664504,2,2
1508664988,167,135
1508665594,40,0
1508665944,156,213
1508666439,1,1
1508666897,140,202
1508667865,208,235
1508668351,1,2
1508668834,169,174
1508669193,34,0
1508669783,149,202
1508670263,3,8
1508670738,182,227
1508671714,153,166
1508672196,5,3
1508672657,169,194
1508672794,32,0
1508673622,171,136
1508674105,9,2
1508674599,137,148
1508675535,196,208
1508676016,8,9
1508676511,207,162
1508678468,370,326
1508679403,201,239
1508679994,49,0
1508680370,193,210
1508681294,155,183
1508682271,167,197
1508683237,197,192
1508683594,42,0
1508684188,179,153
1508685138,137,170
1508686119,230,165
1508687069,125,174
1508687194,68,0
1508688027,185,150
1508688994,163,185
1508689956,174,197
1508690418,31,28
1508690921,219,200
1508691867,194,178
1508692817,160,159
1508693808,188,178
1508694394,118,0
1508694750,185,149
1508695700,195,188
1508696657,173,189
1508697649,181,176
1508697994,128,0
1508698599,181,177
1508699559,192,179
1508700505,216,149
1508701479,189,214
1508701595,35,0
1508702513,212,156
1508703375,12,5
1508703624,216,194
1508704581,190,154
1508705294,64,9
1508705543,206,221
1508706036,26,3
1508706772,269,363
1508707241,6,7
1508707695,128,12
1508708658,197,194
1508709148,31,20
1508709637,186,359
1508709853,27,68
1508710593,209,12
1508711506,175,178
1508712502,273,234
1508713467,177,159
1508714436,207,155
1508715377,184,223
1508715995,32,0
1508716355,194,163
1508717306,196,201
1508718516,226,295
1508719208,4,12
1508719457,197,18
1508719594,37,1238
1508720441,202,427
1508721126,12,6
1508721404,200,208
1508722368,202,165
1508723052,11,10
1508723296,219,12
1508724265,161,341
1508725223,194,225
1508726210,148,12
1508726894,53,14
1508727386,198,218
1508728351,201,399
1508728836,7,8
1508729292,205,12
1508730256,197,161
1508730394,39,0
1508730730,5,7
1508731243,184,395
1508732189,180,9
1508733136,171,160
1508734117,261,320
1508734582,5,13
1508735065,186,3
1508736013,186,165
1508736507,6,3
1508736995,197,185
1508737594,80,0
1508737944,174,179
1508738434,8,0
1508738893,222,171
1508739875,153,316
1508740353,3,5
1508740816,193,15
1508741194,86,0
1508741789,187,391
1508742278,8,3
1508742751,180,12
1508743692,180,133
1508744182,4,4
1508744666,213,357
1508744794,80,0
1508745659,181,210
1508746100,5,6
1508746582,188,12
1508747553,153,348
1508748025,2,2
1508748497,252,174
1508749482,221,153
1508749949,5,5
1508750413,171,13
1508751384,200,168
1508751855,4,0
1508751995,92,0
1508752341,195,137
1508753338,229,325
1508753794,3,1
1508754268,168,165
1508756475,527,285
1508757424,196,147
1508759056,297,208
1508759194,221,0
1508760011,238,171
1508760995,178,136
1508761939,189,327
1508762180,7,17
1508762910,483,6
1508763865,255,347
1508764819,159,3
1508765783,211,170
1508766394,344,0
1508766763,178,192
1508767693,179,181
1508768678,224,301
1508769624,205,15
1508769994,173,0
1508770571,224,178
1508771555,206,301
1508772032,15,22
1508772495,155,6
1508773454,188,109
1508773594,148,0
1508773942,3,0
1508774444,231,308
1508775380,182,3
1508775863,10,2
1508776355,206,191
1508776813,21,21
1508777305,294,155
1508777769,5,2
1508778261,191,152
1508779225,230,308
1508779690,8,0
1508780209,194,136
1508780794,69,0
1508781149,215,17
1508781634,2,2
1508782097,226,179
1508783067,201,334
1508783554,5,6
1508784025,224,9
1508784395,93,0
1508784972,219,169
1508785475,21,4
1508785959,175,186
1508786892,207,211
1508787372,21,2
1508787880,205,178
1508787995,34,0
1508788828,251,187
1508789312,9,6
1508789781,227,205
1508790749,218,174
1508791228,12,10
1508791706,298,195
1508792672,171,220
1508793156,10,9
1508793623,215,141
1508794673,244,220
1508795052,6,4
1508795195,31,0
1508795779,209,191
1508796026,62,61
1508796731,215,173
1508797288,5,3
1508797700,191,175
1508798667,211,192
1508798794,28,0
1508799385,5,5
1508799636,217,211
1508800583,200,182
1508801301,8,0
1508801549,209,168
1508802496,238,200
1508803231,5,2
1508803474,231,225
1508804675,245,237
1508805144,2,1
1508805624,205,191
1508805994,28,1283
1508806575,309,203
1508807809,290,412
1508808753,221,18
1508809226,5,9
1508809696,263,213
1508810912,272,372
1508811397,6,7
1508811853,209,150
1508812826,192,210
1508813292,54,0
1508813782,170,3
1508814758,216,358
1508815237,9,16
1508815692,211,15
1508816655,207,158
1508816794,29,0
1508817141,8,2
1508817753,227,353
1508818824,221,133
1508819054,10,0
1508819783,163,181
1508820395,35,0
1508820741,198,176
1508820968,5,0
1508821690,225,177
1508822664,187,181
1508823157,5,7
1508823625,191,184
1508823995,87,0
1508824572,171,211
1508825059,0,8
1508825557,186,157
1508826509,197,202
1508827002,2,0
1508827459,193,172
1508827594,106,0
1508829663,411,345
1508830608,147,214
1508831195,156,0
1508831542,200,213
1508832505,215,213
1508833459,164,167
1508834426,203,171
1508834795,453,0
1508835393,183,187
1508836335,172,153
1508837307,208,180
1508838271,142,154
1508838394,295,0
1508839232,203,163
1508840180,194,150
1508841163,209,397
1508842116,292,6
1508843064,176,213
1508844027,163,273
1508844990,202,10
1508845986,371,179
1508846895,213,200
1508847868,142,156
1508848931,204,170
1508849195,121,0
1508850037,232,228
1508850981,210,140
1508851687,5,2
1508851950,169,219
1508852896,312,167
1508853900,203,145
1508854825,158,162
1508855783,143,171
1508856395,408,0
1508856744,171,169
1508857742,168,204
1508858654,124,114
1508859614,143,193
1508859995,93,0
1508860582,172,199
1508861670,172,185
1508862599,192,188
1508863569,169,168
1508863595,148,0
1508864685,175,363
1508865398,7,4
1508865971,252,160
1508866336,31,44
1508866940,133,211
1508867426,58,1
1508867922,188,230
1508868868,191,225
1508870938,339,424
1508872101,223,183
1508872859,7,19
1508873063,157,217
1508874040,164,204
1508874395,38,0
1508875239,222,407
1508876435,183,228
1508877399,173,259
1508878360,225,203
1508879308,168,255
1508880260,206,233
1508881215,168,242
1508881595,78,0
1508882207,294,241
1508883136,201,203
1508884108,186,245
1508885054,152,12
1508885195,36,0
1508886065,225,414
1508887001,199,229
1508887943,173,15
1508888918,270,517
1508889881,207,272
1508890833,182,16
1508891787,163,213
1508892395,47,2230
1508892744,240,333
1508893735,172,270
1508894669,204,208
1508895616,227,205
1508895995,87,0
1508896590,157,261
1508897558,200,206
1508898512,189,189
1508899460,162,164
1508899595,134,0
1508900417,215,223
1508901405,181,200
1508902368,241,216
1508903430,282,240
1508904260,0,6
1508904511,205,277
1508905478,228,145
1508906182,2,9
1508906413,178,189
1508906795,34,0
1508907387,180,194
1508908098,2,2
1508908346,155,153
1508909313,169,199
1508910015,0,4
1508910256,167,171
1508910395,67,0
1508911236,156,189
1508911833,2,1
1508912193,183,188
1508913161,190,235
1508913856,4,0
1508914111,263,440
1508915075,173,15
1508915788,3,0
1508916013,147,5
1508917002,193,182
1508917709,106,4
1508917933,174,188
1508918919,132,359
1508919854,156,17
1508920842,164,382
1508921195,73,0
1508921790,133,15
1508922738,172,381
1508923716,164,167
1508924676,156,206
1508924794,59,0
1508925644,161,175
1508926601,166,169
