DateTime,Entries,UniqueIPs
1508445639,249776,282464
1508446572,249787,282473
1508447556,249782,282471
1508448497,249770,282455
1508450499,249741,282445
1508451613,249748,282447
1508452579,249741,282439
1508453539,249736,282442
1508454491,249737,282449
1508455470,249743,282452
1508456424,249748,282456
1508457372,249750,282461
1508458344,249749,282463
1508459291,249763,282468
1508460259,249769,282494
1508461230,249781,282497
1508462190,249809,282523
1508463152,249822,282540
1508464101,249823,282541
1508465316,249852,282574
1508466283,249863,282587
1508467225,249887,282610
1508468173,249904,282619
1508469259,249926,282642
1508470344,249928,282653
1508471296,249922,282639
1508472272,249929,282648
1508473217,249908,282686
1508474184,249915,282686
1508475142,249915,282680
1508476103,249929,282695
1508477054,249925,282700
1508478029,249929,282706
1508478974,249935,282717
1508479964,249935,282714
1508480895,249935,282720
1508481872,249952,282744
1508482840,249951,282741
1508483800,249946,282737
1508484738,249948,282743
1508485709,249941,282736
1508486677,249937,282732
1508487975,249943,282755
1508489065,249954,282769
1508490032,249944,282761
1508490981,249948,282767
1508491957,249967,282791
1508492909,249976,282802
1508493878,249996,282819
1508494823,250019,282849
1508495783,250030,282857
1508496751,250034,282865
1508497717,250031,282867
1508498661,250032,282867
1508499614,250022,282850
1508500597,250016,282842
1508501542,250059,282892
1508502504,250064,282898
1508503476,250084,282922
1508504440,250098,282937
1508505382,250080,282924
1508506352,250097,282941
1508507308,250093,282945
1508508280,250115,282964
1508509226,250112,282952
1508510197,250116,282950
1508511175,250120,282950
1508512121,250138,282966
1508513057,250153,282975
1508514016,250169,282994
1508515010,250177,283006
1508515957,250185,283012
1508516899,250190,283021
1508517860,250186,283009
1508518844,250182,282991
1508518907,249084,281830
1508519786,249091,281834
1508520754,249087,281824
1508521696,249094,281822
1508522675,249091,281824
1508523630,249110,281844
1508525343,249096,281826
1508526264,249109,281847
1508527235,249113,281853
1508528172,249117,281867
1508529169,249135,281884
1508530095,249155,281903
1508531064,249184,281929
1508532023,249195,281955
1508532989,249182,281945
1508533954,249187,281953
1508534898,249191,281955
1508535372,249185,281948
1508535866,249169,281930
1508536855,249173,281932
1508537791,249173,281936
1508538807,249166,281934
1508539213,249170,281940
1508539709,249176,281935
1508540687,249178,281944
1508541625,249175,281942
1508542575,249181,281944
1508543553,249197,281951
1508544502,249189,281951
1508545500,249210,281985
1508546427,249215,281990
1508547392,249223,282001
1508548346,249223,282002
1508549303,249223,282003
1508550269,249230,282009
1508551227,249251,282029
1508552199,249269,282039
1508553137,249273,282052
1508554125,249285,282053
1508555063,249287,282052
1508556018,249283,282044
1508556982,249317,282091
1508557943,249298,282063
1508558894,249328,282095
1508559885,249341,282114
1508560823,249361,282132
1508561778,249386,282157
1508562761,249376,282137
1508563700,249380,282142
1508564660,249386,282146
1508565723,249385,282144
1508566809,249400,282164
1508567757,249435,282195
1508568757,249456,282227
1508569865,249471,282241
1508570775,249479,282243
1508571742,249487,282236
1508572832,249495,282234
1508574111,249492,282233
1508575112,249490,282230
1508576059,249486,282222
1508577040,249499,282228
1508577985,249489,282225
1508579053,249495,282223
1508580019,249507,282221
1508580999,249470,282186
1508581938,249513,282234
1508582904,249474,282185
1508583856,249506,282218
1508584820,249512,282229
1508585781,249502,282217
1508586728,249507,282222
1508587699,249503,282219
1508588665,249507,282222
1508589614,249464,282179
1508590584,249490,282209
1508591545,249472,282185
1508592508,249438,282148
1508593459,249462,282179
1508594424,249456,282158
1508595396,249459,282164
1508596339,249470,282164
1508597298,249463,282154
1508598275,249450,282134
1508599258,249456,282139
1508600174,249448,282134
1508601172,249455,282138
1508602096,249456,282139
1508603068,249434,282120
1508604024,249425,282105
1508604977,249417,282094
1508605460,249421,282098
1508605965,249319,281982
1508606898,249308,281966
1508607858,249289,281946
1508608845,249282,281943
1508609811,249289,281946
1508610755,249279,281930
1508611695,249257,281906
1508612673,249251,281903
1508613645,249258,281905
1508614575,249250,281889
1508615543,249242,281880
1508616505,249237,281870
1508617480,249229,281869
1508618425,249221,281858
1508619376,249205,281840
1508620362,249217,281840
1508620813,249248,281873
1508621309,249239,281857
1508622265,249221,281841
1508623231,249223,281841
1508624197,249205,281821
1508624899,249197,281813
1508625392,249207,281817
1508626344,249202,281807
1508627302,249149,281752
1508628253,249119,281721
1508629239,249111,281710
1508630181,249119,281718
1508631155,249109,281700
1508632102,249072,281660
1508633057,249094,281680
1508634013,249121,281707
1508634992,249137,281723
1508635938,249159,281752
1508636919,249156,281742
1508637864,249179,281765
1508638812,249215,281804
1508640038,249220,281814
1508640996,249251,281845
1508641938,249273,281872
1508642910,249289,281891
1508643860,249308,281911
1508644834,249323,281932
1508645802,249310,281913
1508646738,249281,281877
1508647709,249266,281845
1508648688,249243,281823
1508649630,249202,281776
1508650597,249130,281692
1508651546,249052,281605
1508652506,249035,281585
1508653465,249041,281586
1508654429,249038,281578
1508655371,249027,281576
1508656361,249015,281559
1508657294,249017,281558
1508658255,249027,281564
1508659239,249033,281569
1508660209,249029,281566
1508661150,249025,281565
1508662096,249021,281556
1508663073,249018,281550
1508664024,249021,281548
1508664988,249014,281544
1508665944,249017,281548
1508666897,249008,281540
1508667865,249016,281550
1508668834,249020,281553
1508669783,249030,281569
1508670738,249030,281579
1508671714,249027,281580
1508672657,249031,281578
1508673622,249026,281571
1508674599,249018,281560
1508675535,249027,281561
1508676511,249011,281549
1508678468,249008,281561
1508679403,248990,281554
1508680370,248999,281568
1508681294,248988,281562
1508682271,248991,281569
1508683237,248995,281576
1508684188,248990,281569
1508685138,248989,281570
1508686119,249006,281592
1508687069,248998,281584
1508688027,248984,281569
1508688994,248975,281563
1508689956,248976,281562
1508690418,248986,281570
1508690921,248992,281578
1508691867,248994,281583
1508692817,248328,280843
1508693808,248310,280818
1508694750,248311,280816
1508695700,248306,280815
1508696657,248308,280822
1508697649,248317,280824
1508698599,248318,280821
1508699559,248311,280809
1508700505,248309,280806
1508701479,248290,280788
1508702513,248292,280789
1508703624,248312,280827
1508704581,248319,280827
1508705543,248312,280819
1508706036,248325,280832
1508706772,248303,280800
1508707695,248318,280816
1508708658,248308,280802
1508709637,248297,280777
1508709853,248282,280762
1508710593,248291,280770
