DateTime,AddedIPs,RemovedIPs
1508599322,6,4
1508600521,1,3
1508601122,2,0
1508601616,61,119
1508601722,4,0
1508601804,0,4
1508602322,0,3
1508602921,4,10
1508603524,99,0
1508604122,26,2
1508604722,11,0
1508605445,71,89
1508605922,5,0
1508606521,4,0
1508607121,2,0
1508607363,128,40
1508607721,2,2
1508608321,6,0
1508609285,7,125
1508609773,1,0
1508610122,2,3
1508610722,4,0
1508611203,75,0
1508611922,1,1
1508612545,0,2
1508613123,2,73
1508613721,11,3
1508614322,1,0
1508615043,151,99
1508616121,5,0
1508616145,0,4
1508616966,3,73
1508617322,4,0
1508617921,1,1
1508618521,3,2
1508619805,9,10
1508620322,1,0
1508620804,69,0
1508620921,5,2
1508621581,5,0
1508622122,13,5
1508622723,43,146
1508623406,3,2
1508623921,3,1
1508624899,3,0
1508625181,1,0
1508626322,1,0
1508626817,60,0
1508627005,0,6
1508627521,4,0
1508628121,0,1
1508628723,104,106
1508629321,19,24
1508630604,2,1
1508631121,1,6
1508631721,0,7
1508632564,50,4
1508632923,13,6
1508634484,9,89
1508635322,2,2
1508636406,0,78
1508636522,1,7
1508637121,4,5
1508637805,3,4
1508638322,161,0
1508638921,17,10
1508640485,13,83
1508640722,4,0
1508641404,8,4
1508642522,5,0
1508643181,8,3
1508643722,3,2
1508644325,70,101
1508644945,3,8
1508645521,0,5
1508646243,1,115
1508648164,106,4
1508648607,10,2
1508650086,22,115
1508650381,2,0
1508652014,87,0
1508652206,5,11
1508653322,2,3
1508653924,63,67
1508654522,2,0
1508655745,2,1
1508656922,1,4
1508657762,73,7
1508658121,9,1
1508658721,1,2
1508659685,6,90
1508659921,1,1
1508660521,2,8
1508661603,80,1
1508661721,3,1
1508662321,0,1
1508662945,6,8
1508663524,0,69
1508664122,9,1
1508665442,148,10
1508665922,3,0
1508666521,4,2
1508666606,0,4
1508667121,1,1
1508667364,0,110
1508667722,4,8
1508668321,0,2
1508668381,0,4
1508669305,83,2
1508670205,16,12
1508671321,19,0
1508671981,17,9
1508672522,1,10
1508673122,66,8
1508673722,22,1
1508673806,0,1
1508675046,2,116
1508675581,1,0
1508676122,14,6
1508676964,81,0
1508677922,12,14
1508678521,1,0
1508679181,4,4
1508679721,1,0
1508680815,64,127
1508680921,7,2
1508681521,5,1
1508683321,3,2
1508684643,84,5
1508685721,20,1
1508686564,83,52
1508686922,2,0
1508687521,2,2
1508688205,8,4
1508688722,14,6
1508689322,10,4
1508690405,72,92
1508690522,12,1
1508691121,22,1
1508691806,7,2
1508692921,2,6
1508693521,11,7
1508694245,82,70
1508695322,3,4
1508695406,1,1
1508695922,4,5
1508696522,3,2
1508697121,0,2
1508697181,1,0
1508698090,17,94
1508698571,1,0
1508699005,2,5
1508699522,0,9
1508700002,73,0
1508700122,3,6
1508700721,0,1
1508701322,2,4
1508701924,73,64
1508702605,0,4
1508703722,3,4
1508704921,6,0
1508705521,1,0
1508706027,52,73
1508706206,2,5
1508706722,6,0
1508707321,20,0
1508707922,45,71
1508708522,9,7
1508709806,4,5
1508710922,0,7
1508712005,72,107
1508712122,13,0
1508712722,1,4
1508713210,12,14
1508713346,2,1
1508714522,2,10
1508715843,99,84
1508716922,2,4
1508717006,0,2
1508718121,6,8
1508718781,5,0
1508719322,2,0
1508719923,50,85
1508720522,5,0
1508721722,4,4
1508722322,0,2
1508722922,2,2
1508723764,82,12
1508724146,2,14
1508725322,2,5
1508725686,0,143
1508725981,7,3
1508726522,3,0
1508727854,4,4
1508728922,4,17
1508729526,158,93
1508729581,1,0
1508730122,1,0
1508731406,4,17
1508732521,1,3
1508733605,90,105
1508733722,36,7
1508734322,0,2
1508735006,1,0
1508735523,0,103
1508736121,3,0
1508736781,2,0
1508737444,125,10
1508737922,18,30
1508738521,2,1
1508738606,0,1
1508739121,3,0
1508739721,1,0
1508740322,5,1
1508740381,1,0
1508740921,1,0
1508741285,55,66
1508741522,0,6
1508742146,2,4
1508742733,1,3
1508743322,2,0
1508743922,3,0
1508744521,6,1
1508745123,63,13
1508745806,1,4
1508747044,2,118
1508747522,0,1
1508748122,27,0
1508748965,67,0
1508749406,18,4
1508749922,2,0
1508750522,9,0
1508751721,2,4
1508752823,68,114
1508752946,11,5
1508753521,2,0
1508754122,2,0
1508754723,67,0
1508755922,3,3
1508757380,80,58
1508757722,3,0
1508758922,9,1
1508759281,75,12
1508760146,0,6
1508761446,35,87
1508761921,16,14
1508762522,2,3
1508763364,64,60
1508763807,2,1
1508764922,3,4
1508766122,1,7
1508767211,61,132
1508767322,3,0
1508767646,0,3
1508768521,19,1
1508769722,2,17
1508770921,9,4
1508772121,2,6
1508772721,0,1
1508772964,113,0
1508773322,1,0
1508773922,0,1
1508774883,3,114
1508775721,10,1
1508776805,157,79
1508776921,6,3
1508777522,4,0
1508778122,4,0
1508779321,2,9
1508779981,3,4
1508780645,95,59
1508781121,0,7
1508781722,1,5
1508781746,0,2
1508782322,1,1
1508782773,2,0
1508782921,1,0
1508783522,0,2
1508784121,7,2
1508784483,67,15
1508784722,1,2
1508785346,2,3
1508785921,5,1
1508786403,15,58
1508786648,6,6
1508787721,5,3
1508788324,71,69
1508789007,9,2
1508790485,9,11
1508791322,0,1
1508791922,1,1
1508792410,54,62
1508792546,1,3
1508793122,6,2
1508793722,4,8
1508794326,67,166
1508794922,3,0
1508796121,1,8
1508796207,1,8
1508797321,2,6
1508798162,70,1
1508799121,0,3
1508799806,5,1
1508800921,10,1
1508801300,30,10
1508801522,3,0
1508802005,89,75
1508802121,3,0
1508803321,2,0
1508803922,5,4
1508804523,2,6
1508805181,1,0
1508806085,68,99
1508806946,6,11
1508807522,11,0
1508808243,1,83
1508808721,2,1
1508809322,4,1
1508810164,80,0
1508810607,3,2
1508811121,1,0
1508811721,3,1
1508812921,3,0
1508813522,4,1
1508814014,67,177
1508814147,3,5
1508814722,8,0
1508815321,10,9
1508815927,102,0
1508816521,5,9
1508817747,3,5
1508818322,3,0
1508818922,0,3
1508819521,1,0
1508820004,80,109
1508821321,2,5
1508821347,0,2
1508822522,12,3
1508823122,43,35
1508823843,83,84
1508824322,3,1
1508824947,2,6
1508825521,0,2
1508826003,0,63
1508826121,0,3
1508826781,5,0
1508827922,65,1
1508829121,1,15
1508830084,1,65
1508830574,1,7
1508831522,1,7
1508832025,69,0
1508832122,8,1
1508832208,0,1
1508832721,0,4
1508833924,63,55
1508834523,18,7
1508835807,11,10
1508836922,4,5
1508837762,55,9
1508838122,0,1
1508838721,0,4
1508839684,2,104
1508840521,1,4
1508841121,2,0
1508841181,0,1
1508842322,3,3
1508843007,21,5
1508843522,50,0
1508844122,2,1
1508845457,71,49
1508845922,0,1
1508846521,13,24
1508846607,0,1
1508847362,66,46
1508847721,1,0
1508848321,7,3
1508848381,13,12
1508848921,0,4
1508849522,19,8
1508850207,19,1
1508851322,3,0
1508852521,1,0
1508853123,68,124
1508853808,45,15
1508854322,14,0
1508854922,3,0
1508855522,2,0
1508856121,6,1
1508857210,94,0
1508857407,4,5
1508857922,4,0
1508858521,1,0
1508859123,65,54
1508859721,5,1
1508861007,1,0
1508862121,2,5
1508862963,88,9
1508863322,15,4
1508863922,9,0
1508865122,14,19
1508865722,2,5
1508867284,58,123
1508867522,12,0
1508868147,8,8
1508870646,76,16
1508871121,10,8
1508871807,9,5
1508872564,13,140
1508872921,11,4
1508873521,1,0
1508874121,6,1
1508874971,6,0
1508875407,11,4
1508876403,86,0
1508876522,2,1
1508877181,3,7
1508877722,1,0
1508878324,51,13
1508878922,7,9
1508878947,0,2
1508879522,12,5
1508880247,13,134
1508881322,9,9
1508882165,78,9
1508882608,14,3
1508883722,11,3
1508884322,3,5
1508884921,5,1
1508885521,5,7
1508886024,65,185
1508886208,38,4
1508886722,4,0
1508887321,3,0
1508887922,92,0
1508888522,2,3
1508889122,6,3
1508889866,1,95
1508890323,7,0
1508890922,6,4
1508891522,1,3
1508891762,71,0
1508892122,5,0
1508892721,1,0
1508893408,11,13
1508893922,10,0
1508894521,5,0
1508895121,3,3
1508895603,85,5
1508895722,4,9
1508896322,3,0
1508897008,3,14
1508897526,3,156
1508898122,1,0
1508898781,2,7
1508899444,96,1
1508900522,4,1
1508901122,1,3
1508901364,0,91
1508901721,3,2
1508902322,1,1
1508902922,1,0
1508903522,4,3
1508904210,2,8
1508904721,1,5
1508905445,165,117
1508906522,7,8
1508907808,7,7
1508908322,1,2
1508908922,2,7
1508909285,112,10
1508909581,0,4
1508910121,5,24
1508910722,5,3
1508911206,74,191
1508911408,4,1
1508911921,7,5
1508912522,2,0
1508913126,64,71
1508913722,4,3
1508914948,0,1
1508915522,0,7
1508916122,3,2
1508916963,57,6
1508917323,3,0
1508917922,21,2
1508918608,4,4
1508918883,6,52
1508919385,0,2
1508919721,1,4
1508920322,1,0
1508920805,64,54
1508920921,3,4
1508921521,1,0
1508922208,1,2
1508923981,0,6
1508924644,69,99
1508925748,16,7
1508926322,5,2
1508926921,3,0
