DateTime,Entries,UniqueIPs
1508599322,35368,44784
1508600521,35366,44782
1508601122,35368,44784
1508601616,35312,44726
1508601722,35316,44730
1508601804,35312,44726
1508602322,35310,44723
1508602921,35304,44717
1508603524,35402,44816
1508604122,35419,44840
1508604722,35429,44851
1508605445,35409,44833
1508605922,35413,44838
1508606521,35417,44842
1508607121,35419,44844
1508607363,35506,44932
1508607721,35505,44932
1508608321,35511,44938
1508609285,35394,44820
1508609773,35395,44821
1508610122,35394,44820
1508610722,35398,44824
1508611203,35472,44899
1508611922,35472,44899
1508612545,35470,44897
1508613123,35400,44826
1508613721,35406,44834
1508614322,35407,44835
1508615043,35461,44887
1508616121,35466,44892
1508616145,35462,44888
1508616966,35394,44818
1508617322,35398,44822
1508617921,35398,44822
1508618521,35399,44823
1508619805,35392,44822
1508620322,35393,44823
1508620804,35461,44892
1508620921,35465,44895
1508621581,35470,44900
1508622122,35475,44908
1508622723,35374,44805
1508623406,35374,44806
1508623921,35375,44808
1508624899,35377,44811
1508625181,35378,44812
1508626322,35379,44813
1508626817,35437,44873
1508627005,35431,44867
1508627521,35435,44871
1508628121,35434,44870
1508628723,35434,44868
1508629321,35430,44863
1508630604,35431,44864
1508631121,35427,44859
1508631721,35421,44852
1508632564,35466,44898
1508632923,35473,44905
1508634484,35399,44825
1508635322,35398,44825
1508636406,35320,44747
1508636522,35314,44741
1508637121,35312,44740
1508637805,35311,44739
1508638322,35471,44900
1508638921,35479,44907
1508640485,35410,44837
1508640722,35414,44841
1508641404,35418,44845
1508642522,35422,44850
1508643181,35427,44855
1508643722,35428,44856
1508644325,35398,44825
1508644945,35393,44820
1508645521,35388,44815
1508646243,35275,44701
1508648164,35378,44803
1508648607,35384,44811
1508650086,35291,44718
1508650381,35293,44720
1508652014,35379,44807
1508652206,35374,44801
1508653322,35373,44800
1508653924,35367,44796
1508654522,35369,44798
1508655745,35369,44799
1508656922,35365,44796
1508657762,35431,44862
1508658121,35438,44870
1508658721,35438,44869
1508659685,35354,44785
1508659921,35354,44785
1508660521,35349,44779
1508661603,35428,44858
1508661721,35430,44860
1508662321,35429,44859
1508662945,35427,44857
1508663524,35358,44788
1508664122,35366,44796
1508665442,35501,44934
1508665922,35504,44937
1508666521,35506,44939
1508666606,35502,44935
1508667121,35502,44935
1508667364,35395,44825
1508667722,35391,44821
1508668321,35389,44819
1508668381,35385,44815
1508669305,35466,44896
1508670205,35468,44900
1508671321,35487,44919
1508671981,35495,44927
1508672522,35486,44918
1508673122,35543,44976
1508673722,35563,44997
1508673806,35562,44996
1508675046,35448,44882
1508675581,35449,44883
1508676122,35455,44891
1508676964,35536,44972
1508677922,35533,44970
1508678521,35534,44971
1508679181,35535,44971
1508679721,35536,44972
1508680815,35476,44909
1508680921,35482,44914
1508681521,35486,44918
1508683321,35486,44919
1508684643,35564,44998
1508685721,35582,45017
1508686564,35611,45048
1508686922,35613,45050
1508687521,35613,45050
1508688205,35617,45054
1508688722,35626,45062
1508689322,35629,45068
1508690405,35610,45048
1508690522,35619,45059
1508691121,35640,45080
1508691806,35645,45085
1508692921,35642,45081
1508693521,35646,45085
1508694245,35658,45097
1508695322,35657,45096
1508695406,35657,45096
1508695922,35656,45095
1508696522,35658,45096
1508697121,35656,45094
1508697181,35657,45095
1508698090,35581,45018
1508698571,35582,45019
1508699005,35579,45016
1508699522,35570,45007
1508700002,35641,45080
1508700122,35638,45077
1508700721,35637,45076
1508701322,35635,45074
1508701924,35644,45083
1508702605,35640,45079
1508703722,35639,45078
1508704921,35645,45084
1508705521,35646,45085
1508706027,35625,45064
1508706206,35623,45061
1508706722,35629,45067
1508707321,35649,45087
1508707922,35622,45061
1508708522,35623,45063
1508709806,35622,45062
1508710922,35615,45055
1508712005,35580,45020
1508712122,35591,45033
1508712722,35588,45030
1508713210,35586,45028
1508713346,35587,45029
1508714522,35581,45021
1508715843,35596,45036
1508716922,35594,45034
1508717006,35592,45032
1508718121,35590,45030
1508718781,35595,45035
1508719322,35597,45037
1508719923,35564,45002
1508720522,35569,45007
1508721722,35569,45007
1508722322,35567,45005
1508722922,35567,45005
1508723764,35636,45075
1508724146,35625,45063
1508725322,35622,45060
1508725686,35480,44917
1508725981,35484,44921
1508726522,35486,44924
1508727854,35486,44924
1508728922,35474,44911
1508729526,35537,44976
1508729581,35538,44977
1508730122,35539,44978
1508731406,35526,44965
1508732521,35524,44963
1508733605,35509,44948
1508733722,35534,44977
1508734322,35532,44975
