DateTime,Entries,UniqueIPs
1507996320,6685,650795104
1507997804,6684,650795103
1507999202,6684,650795103
1508000103,6685,650785887
1508001602,6689,650785888
1508002806,6689,650785888
1508003466,6689,650785888
1508005018,6665,650785864
1508006102,6665,650785864
1508008808,6674,650785875
1508012647,6674,650785877
1508013302,6674,650785877
1508015799,6685,650785887
1508019602,6676,650785876
1508021477,6676,650785876
1508022970,6682,650785880
1508024705,6680,650785878
1508025002,6682,650785880
1508025426,6682,650785880
1508026089,6677,650785875
1508026631,6690,650785888
1508030187,6696,650785894
1508033787,6695,650785894
1508034632,6695,650785894
1508037604,6675,650785872
1508041445,6676,650785871
1508044590,6666,650785862
1508048162,6630,650785824
1508052002,6640,650785834
1508055302,6642,650785836
1508055437,6649,650785845
1508058993,6651,650785846
1508059809,6649,650785844
1508060102,6651,650785846
1508062586,6656,650785854
1508066405,6663,650785856
1508070257,6661,650785858
1508073602,6658,650785855
1508077010,6654,650785853
1508080802,6650,650785849
1508084170,6651,650786105
1508084402,6648,650786102
1508085303,6648,650786102
1508086303,6648,650786102
1508086503,6650,650788150
1508088014,6642,650788141
1508091307,6638,650788137
1508091370,6635,650788134
1508094997,6641,650788139
1508098801,6645,650788144
1508099703,6645,650788144
1508102186,6653,650788152
1508105812,6644,650788144
1508106627,6644,650788144
1508109379,6668,650788167
1508112302,6665,650788164
1508113202,6700,650788200
1508113830,6700,650788200
1508116805,6700,650788201
1508118002,6698,650788199
1508118302,6700,650788201
1508120644,6699,650788199
1508122565,6699,650788199
1508123784,6678,650788176
1508127601,6666,650788165
1508130982,6662,650788162
1508134617,6669,650788170
1508135436,6669,650788170
1508138212,6662,650788161
1508142002,6656,650788155
1508145605,6672,650788171
1508146233,6674,650788173
1508147703,6673,650788172
1508149451,6653,650788151
1508152611,6649,650788149
1508155214,6650,650788150
1508156402,6655,650788157
1508158284,6655,650788157
1508159787,6636,650788137
1508161202,6636,650788137
1508163397,6635,650788136
1508164806,6636,650788137
1508166981,6636,650788135
1508170603,6634,650788132
1508173205,6638,650782756
1508174404,6639,650782757
1508177815,6632,650782751
1508180165,6632,650782751
1508181390,6636,650782753
1508185011,6622,650782739
1508185928,6622,650782739
1508188565,6615,650782732
1508192402,6620,650782737
1508193303,6621,650782993
1508194802,6621,650782993
1508196002,6630,650783002
1508196634,6630,650783002
1508198455,6626,650782998
1508199611,6660,650783030
1508203691,6664,650783034
1508206558,6685,650783056
1508210216,6666,650783038
1508214002,6675,650783048
1508217425,6679,650783053
1508220966,6680,650783054
1508220969,6664,650783037
1508224597,6671,650783043
1508227683,5616,650781984
1508229611,6636,650783009
1508231527,6634,650783007
1508231783,6646,650783017
1508232642,6646,650783017
1508235602,6637,650783007
1508237288,6639,650783009
1508239204,6636,650783007
1508242594,6632,650783003
1508246223,6627,650782995
1508248414,6627,650782995
1508250002,6631,650782999
1508251878,6631,650782999
1508253352,6629,650782997
1508254220,6628,650782996
1508255703,6629,650782997
1508256948,6661,650783032
1508257202,6662,650783033
1508257828,6662,650783033
1508259626,6662,650755129
1508260601,6667,650755136
1508262903,6665,650755134
1508263202,6667,650755136
1508264402,6666,650755135
1508268009,6675,650755145
1508271846,6667,650755137
1508274951,6667,650755136
1508277113,6667,650755136
1508278802,6651,650755119
1508280002,6651,650755119
1508282187,6643,650755111
1508283035,6641,650755109
1508283366,6643,650755111
1508284802,6641,650755109
1508286002,6663,650755132
1508287208,6659,650612796
1508289362,6667,650612805
1508293202,6662,650612799
1508296808,6670,650612807
1508300644,6666,650612803
1508303817,6655,650612792
1508304489,6656,650612793
1508304613,6655,650612792
1508306458,6655,650612792
1508307408,6667,650612804
1508308329,6665,650612802
1508311202,6666,650612803
1508314806,6658,650612795
1508318645,6650,650612787
1508321790,6627,650612762
1508325379,6657,650612793
1508326328,6656,650612792
1508328980,6653,650612788
1508332552,6648,650612784
1508336232,6650,650612787
1508336402,6652,650612789
1508338458,6651,650612533
1508340006,6618,650612500
1508342102,6618,650612500
1508343844,6628,650612509
1508344229,6627,650612508
1508345767,6628,650612764
1508346006,6627,650592284
1508347025,6623,650592278
1508348102,6623,650592278
1508349614,6624,650592279
1508350502,6622,650592277
1508350612,6618,650592273
1508351102,6620,650592275
1508351704,6620,650592275
1508354179,6651,650592306
1508356802,6651,650592306
1508357705,6650,650592305
1508357789,6654,650592311
1508359507,6656,650592313
1508361411,6655,650592313
1508364966,6654,650592312
1508365503,6659,650592318
1508369048,6659,650592318
1508371802,6656,650592315
1508372202,6669,650592328
1508373037,6669,650592328
1508375749,6664,650592320
1508379602,6662,650592319
1508382977,6656,650592314
1508386802,6659,650592317
1508388484,6658,650592316
1508390409,6652,650592312
1508394250,6652,650592312
1508396165,6651,650592311
1508396423,6652,650592312
1508397351,6654,650592314
1508399402,6652,650592312
1508400016,6654,650592314
1508401201,6655,650592314
1508404560,6646,650592304
1508408152,6648,650592306
1508409605,6647,650592305
1508409906,6648,650592306
1508411794,6632,650592288
1508415399,6645,650592302
1508419204,6639,650592295
1508423046,6616,650592272
1508425235,6618,650592274
1508426197,6641,650592298
1508428817,6638,650592042
1508429842,6629,650592032
1508430729,6630,650592288
1508431978,6630,650592288
1508432651,6634,650563872
1508433391,6637,650563875
1508435778,6637,650563875
1508437203,6638,650563876
1508438405,6638,650563876
1508440593,6636,650563873
1508442309,6635,650563872
1508444185,6618,650563855
1508445302,6618,650563855
1508448005,6623,650563863
1508450703,6623,650563863
1508452328,6628,650563869
1508454941,6640,650563881
1508455836,6641,650563881
1508456402,6641,650563881
1508458609,6666,650563906
1508460005,6665,650563905
1508460305,6666,650563906
1508462402,6662,650563902
1508466002,6650,650563891
1508469609,6631,650563871
1508472975,6628,650563868
1508473807,6629,650563869
1508476601,6621,650563862
1508477527,6621,650563862
1508480168,6642,650563886
1508482281,6643,650563886
1508484003,6642,650563886
1508485505,6641,650563885
1508487395,6641,650563884
1508491202,6647,650563891
1508494804,6654,650563896
1508498107,6656,650563898
1508498648,6664,650563905
1508500825,6665,650563906
1508501759,6666,650563908
1508503902,6664,650563906
1508504415,6666,650563908
1508505398,6668,650563909
1508507105,6667,650563908
