DateTime,AddedIPs,RemovedIPs
1508540391,90,143
1508540673,10,13
1508541314,59,20
1508542210,57,254
1508542571,7,19
1508543107,56,324
1508544497,13,17
1508544606,107,127
1508545835,66,237
1508546422,13,14
1508546706,69,72
1508548342,10,11
1508548446,132,207
1508549385,59,267
1508550254,9,21
1508550654,57,90
1508551126,49,196
1508552195,86,45
1508554111,95,230
1508554566,83,99
1508555407,56,148
1508556014,6,12
1508556634,78,188
1508557938,6,11
1508558245,130,77
1508559250,69,158
1508559870,10,11
1508560226,75,1
1508561107,68,336
1508561774,10,20
1508562019,56,0
1508562606,50,154
1508563695,359,0
1508564374,141,319
1508565709,19,26
1508566207,126,227
1508567741,91,425
1508568307,0,256
1508568901,79,167
1508569861,6,12
1508570107,62,342
1508571038,0,24638
1508571738,20,23
1508571910,24084,0
1508572847,47,0
1508574096,73,375
1508575506,128,605
1508576045,7,8
1508577306,85,322
1508577969,101,21
1508578666,84,544
1508579897,21,285
1508580606,137,404
1508581702,71,20
1508582319,59,494
1508583732,23,27
1508584206,141,492
1508585106,47,0
1508585533,14,15
1508586006,63,373
1508586858,64,0
1508587473,12,17
1508587806,68,293
1508589034,97,276
1508589379,14,12
1508590818,114,62
1508591299,11,11
1508591706,120,150
1508592486,61,0
1508593208,11,20
1508593507,68,186
1508594478,56,194
1508595128,13,30
1508595307,55,0
1508596207,58,168
1508596233,0,1531
1508597088,12,21
1508597107,56,90
1508599244,140,165
1508599835,67,194
1508600621,49,0
1508601165,5,12
1508601656,63,181
1508602447,834,0
1508603053,8,747
1508603423,292,255
1508604306,59,212
1508604973,16,13
1508605807,102,101
1508606893,515,3
1508607906,68,156
1508608831,286,27
1508609706,113,214
1508610749,58,11
1508611336,61,594
1508612659,14,9
1508613006,107,210
1508614570,8,14
1508614806,117,204
1508615706,54,0
1508616490,9,20
1508616905,64,174
1508617831,303,0
1508618421,10,11
1508619319,125,275
1508620347,13,19856
1508621285,19796,0
1508622307,70,202
1508623326,74,217
1508624192,14,22
1508624887,88,0
1508625727,63,212
1508626090,12,17
1508626566,40,0
1508627705,56,109
1508628008,10,29
1508628631,0,244
1508629507,137,246
1508629926,10,23
1508631857,113,160
1508632087,71,0
1508633107,52,256
1508633779,10,20
1508634906,90,175
1508635700,13,21
1508636527,120,274
1508637612,35,38
1508638206,103,161
1508639532,14,20
1508640307,118,265
1508641471,58,16
1508641792,51,150
1508642887,79,0
1508643392,14,15
1508643907,76,318
1508644807,0,18487
1508645320,43,19
1508645711,18382,0
1508647212,18,16
1508647327,84,276
1508649149,440,0
1508649607,138,153
1508650507,48,253
1508651069,17,16
1508651407,68,77
1508653001,13,17
1508653838,130,139
1508654903,70,290
1508655885,76,94
1508656843,64,9
1508658768,93,235
1508660106,114,116
1508660671,9,21
1508660887,43,1
1508661728,55,241
1508662572,12,17
1508662732,55,156
1508663708,67,33
1508664505,4,33
1508664907,77,362
1508666440,16,55
1508666677,106,267
1508667607,61,0
1508668353,13,19
1508668807,68,367
1508670264,7,30
1508670606,106,145
1508672197,10,25
1508672960,138,157
1508674106,6,23
1508675145,121,125
1508676017,11,20
1508676877,127,178
1508678454,75,130
1508678707,53,0
1508679607,114,150
1508680366,13,21
1508681322,111,108
1508682306,75,15
1508683507,74,211
1508684184,12,20
1508684412,47,100
1508685307,63,11
1508686104,15,16
1508686207,57,158
1508686237,0,511
1508687468,1326,41
1508688022,22,640
1508688607,118,108
1508688906,0,255
1508689439,71,0
1508689941,13,14
1508690407,68,366
1508691195,9,0
1508691682,92,136
1508691861,281,0
1508692515,63,0
1508693407,57,112
1508693794,15,12
1508694307,79,39
1508695695,276,11
