DateTime,Entries,UniqueIPs
1508542322,29185,32633
1508542921,29181,32629
1508543521,29180,32628
1508544122,29183,32632
1508544722,29183,32630
1508545922,29187,32634
1508546523,29190,32638
1508547122,29190,32638
1508547722,29190,32638
1508548321,29205,32656
1508548921,29204,32656
1508550122,29198,32649
1508550722,29195,32645
1508551322,29201,32651
1508552522,29197,32648
1508553721,29195,32645
1508554321,29200,32650
1508554922,29203,32653
1508556121,29200,32650
1508556722,29202,32652
1508557322,29203,32653
1508557921,29201,32651
1508558522,29198,32648
1508559721,29200,32649
1508560322,29201,32650
1508560922,29201,32649
1508562122,29204,32652
1508562721,29205,32653
1508563321,29232,32682
1508563981,29226,32676
1508564522,29230,32680
1508565121,29231,32681
1508565721,29230,32679
1508566321,29232,32681
1508567522,29231,32680
1508568121,29230,32679
1508568722,29225,32674
1508569322,29239,32691
1508569921,29249,32702
1508570521,29245,32698
1508571722,29244,32697
1508572921,29223,32672
1508574122,29221,32672
1508574781,29217,32668
1508575322,29225,32676
1508576522,29216,32666
1508577122,29218,32668
1508577722,29217,32666
1508578922,29216,32665
1508580257,29205,32653
1508581322,29231,32682
1508582522,29240,32690
1508583122,29233,32684
1508583721,29234,32685
1508584321,29236,32688
1508584921,29211,32661
1508586122,29225,32677
1508587321,29229,32683
1508588521,29232,32687
1508589721,29217,32671
1508590922,29206,32659
1508592123,29241,32698
1508592721,29242,32699
1508593321,29251,32709
1508594522,29250,32708
1508595721,29250,32707
1508596921,29249,32705
1508598123,29256,32712
1508599322,29258,32714
1508600521,29256,32712
1508601122,29258,32714
1508601722,29262,32718
1508602322,29260,32715
1508602921,29254,32709
1508603522,29257,32712
1508604122,29274,32736
1508604722,29284,32747
1508605322,29289,32754
1508605922,29293,32759
1508606521,29297,32763
1508607121,29299,32765
1508607721,29298,32765
1508608321,29304,32771
1508608921,29310,32777
1508609773,29311,32778
1508610122,29310,32777
1508610722,29314,32781
1508611922,29314,32781
1508612522,29312,32779
1508613122,29314,32781
1508613721,29320,32789
1508614322,29321,32790
1508614922,29315,32782
1508616121,29320,32787
1508616721,29318,32783
1508617322,29322,32787
1508617921,29322,32787
1508618521,29323,32788
1508619721,29319,32784
1508620322,29320,32785
1508620921,29324,32788
1508621581,29329,32793
1508622122,29334,32801
1508623322,29334,32802
1508623921,29335,32804
1508624899,29337,32807
1508625181,29338,32808
1508626322,29339,32809
1508626921,29334,32804
1508627521,29338,32808
1508628121,29337,32807
1508628722,29334,32803
1508629321,29330,32798
1508630521,29332,32800
1508631121,29328,32795
1508631721,29322,32788
1508632923,29329,32795
1508634121,29331,32791
1508635322,29330,32791
1508636522,29324,32785
1508637121,29322,32784
1508637722,29324,32786
1508638921,29332,32793
1508640122,29325,32786
