DateTime,Entries,UniqueIPs
1508472007,25108,25108
1508472907,25683,25683
1508473806,26515,26515
1508474707,27095,27095
1508475607,27707,27707
1508476506,28464,28464
1508477406,29210,29210
1508478307,29902,29902
1508479207,30467,30467
1508480107,30914,30914
1508481007,31442,31442
1508481908,32002,32002
1508482808,32579,32579
1508483706,33153,33153
1508484607,33609,33609
1508485506,34398,34398
1508486406,34478,34478
1508487307,34581,34581
1508488207,34665,34665
1508489107,34729,34729
1508490006,34502,34502
1508490908,34029,34029
1508491806,33564,33564
1508492706,33202,33202
1508493606,32796,32796
1508494505,32341,32341
1508495407,31808,31808
1508496307,31355,31355
1508497207,30909,30909
1508498107,30740,30740
1508499006,30417,30417
1508499908,30249,30249
1508500805,29757,29757
1508501704,28980,28980
1508502605,28159,28159
1508503504,27605,27605
1508504404,27037,27037
1508505304,26516,26516
1508506203,24051,24051
1508507103,21303,21303
1508508003,18548,18548
1508508902,17060,17060
1508509802,15496,15496
1508510702,14183,14183
1508511602,12903,12903
1508512502,11632,11632
1508513402,10477,10477
1508514302,9966,9966
1508515201,9902,9902
1508516102,9722,9722
1508517001,9421,9421
1508517901,9121,9121
1508518802,8482,8482
1508519701,7866,7866
1508520601,7019,7019
1508521502,5981,5981
1508522401,4688,4688
1508523301,4111,4111
1508525101,4087,4087
1508526001,3564,3564
1508526901,3230,3230
1508527801,3050,3050
1508528701,3249,3249
1508529602,9570,9570
1508530502,10333,10333
1508531402,10869,10869
1508532302,11384,11384
1508533203,11774,11774
1508534103,11958,11958
1508535003,12141,12141
1508535902,12295,12295
1508536803,12550,12550
1508537703,12696,12696
1508538603,12780,12780
1508539503,12883,12883
1508540403,12950,12950
1508541302,12996,12996
1508542203,12953,12953
1508543103,12967,12967
1508544002,13176,13176
1508544903,13345,13345
1508545803,13493,13493
1508546703,13669,13669
1508547603,13876,13876
1508548503,14056,14056
1508549403,14242,14242
1508550303,14406,14406
1508551203,14595,14595
1508552103,14759,14759
1508553003,14929,14929
1508553904,15153,15153
1508554803,15377,15377
1508555704,15522,15522
1508556603,15735,15735
1508557503,16047,16047
1508558403,16333,16333
1508559303,16544,16544
1508560203,16910,16910
1508561103,17213,17213
1508562004,17541,17541
1508562904,17874,17874
1508563803,18903,18903
1508564703,19808,19808
1508565603,20040,20040
1508566503,20276,20276
1508567403,20541,20541
1508568304,20684,20684
1508569203,20888,20888
1508570103,21085,21085
1508571003,21347,21347
1508571903,21555,21555
1508572803,21437,21437
1508573703,15318,15318
1508574603,14744,14744
1508575503,14376,14376
1508576403,14134,14134
1508577302,14195,14195
1508578203,14536,14536
1508579102,14851,14851
1508580002,15111,15111
1508580902,15371,15371
1508581802,15448,15448
1508582703,15491,15491
1508583602,15701,15701
1508584502,16263,16263
1508585402,16609,16609
1508586302,16670,16670
1508587202,16740,16740
1508588103,16913,16913
1508589002,17116,17116
1508589902,17191,17191
1508590802,17399,17399
1508591702,17486,17486
1508592603,17612,17612
1508593502,17740,17740
1508594403,18064,18064
1508595303,19162,19162
1508596202,20749,20749
1508597102,20855,20855
1508598003,20935,20935
1508598903,20991,20991
1508599803,21127,21127
1508600703,21191,21191
1508601602,21163,21163
1508602503,21098,21098
1508603402,21040,21040
1508604302,21088,21088
1508605202,21042,21042
1508606103,20867,20867
1508607003,21670,21670
1508607903,22055,22055
1508608803,21960,21960
1508609703,22659,22659
1508610603,23134,23134
1508611503,23188,23188
1508612403,23515,23515
1508613303,23562,23562
1508614203,23763,23763
1508615103,24007,24007
1508616003,24218,24218
1508616903,24405,24405
1508617803,24281,24281
1508618703,24064,24064
