DateTime,Entries,UniqueIPs
1508673611,5219,5219
1508674086,5213,5213
1508674564,5206,5206
1508675052,5216,5216
1508675525,5225,5225
1508676005,5215,5215
1508676485,5214,5214
1508676972,5224,5224
1508678411,5216,5216
1508678891,5218,5218
1508679364,5214,5214
1508679850,5214,5214
1508680324,5224,5224
1508680822,5215,5215
1508681285,5212,5212
1508681767,5214,5214
1508682246,5219,5219
1508682734,5219,5219
1508683204,5214,5214
1508683689,5212,5212
1508684165,5211,5211
1508684652,5213,5213
1508685126,5218,5218
1508685604,5217,5217
1508686084,5215,5215
1508686572,5216,5216
1508687045,5214,5214
1508687528,5215,5215
1508688015,5216,5216
1508688486,5219,5219
1508688967,5218,5218
1508689446,5217,5217
1508689925,5214,5214
1508690412,5211,5211
1508690885,5214,5214
1508691368,5220,5220
1508691846,5212,5212
1508692326,5217,5217
1508692808,5215,5215
1508693284,5217,5217
1508693764,5218,5218
1508694249,5208,5208
1508694725,5217,5217
1508695215,5208,5208
1508695687,5214,5214
1508696168,5218,5218
1508696644,5208,5208
1508697128,5217,5217
1508697606,5213,5213
1508698097,5213,5213
1508698566,5218,5218
1508699047,5225,5225
1508699525,5212,5212
1508700010,5215,5215
1508700494,5219,5219
1508700964,5214,5214
1508701448,5214,5214
1508701929,5211,5211
1508702482,5214,5214
1508702887,5207,5207
1508703364,5218,5218
1508703847,5216,5216
1508704324,5214,5214
1508705049,5211,5211
1508705524,5213,5213
1508706032,5218,5218
1508706727,5219,5219
1508707210,5217,5217
1508707689,5219,5219
1508708165,5217,5217
1508708648,5211,5211
1508709125,5212,5212
1508709617,5209,5209
1508710084,5216,5216
1508710568,5204,5204
1508711047,5215,5215
1508712012,5208,5208
1508712485,5207,5207
1508712966,5215,5215
1508713449,5225,5225
1508713931,5216,5216
1508714406,5213,5213
1508714888,5213,5213
1508715364,5218,5218
1508715847,5215,5215
1508716324,5210,5210
1508716827,5219,5219
1508717286,5213,5213
1508717769,5213,5213
1508718489,5217,5217
1508718968,5214,5214
1508719445,5214,5214
1508719930,5223,5223
1508720419,5214,5214
1508720886,5210,5210
1508721367,5211,5211
1508721848,5208,5208
1508722330,5210,5210
1508722804,5211,5211
1508723285,5209,5209
1508723768,5209,5209
1508724247,5209,5209
1508724730,5213,5213
1508725205,5211,5211
1508725693,5206,5206
1508726165,5211,5211
1508726649,5218,5218
1508727365,5216,5216
1508727849,5213,5213
1508728324,5208,5208
1508728811,5214,5214
1508729286,5208,5208
1508729764,5212,5212
1508730244,5213,5213
1508730725,5213,5213
1508731214,5215,5215
1508731691,5211,5211
1508732165,5216,5216
1508732650,5210,5210
1508733125,5210,5210
1508733608,5214,5214
1508734086,5211,5211
1508734565,5211,5211
1508735050,5208,5208
1508735530,5213,5213
1508736004,5214,5214
1508736488,5217,5217
1508736964,5213,5213
1508737448,5210,5210
1508737924,5216,5216
1508738417,5209,5209
1508738885,5213,5213
1508739367,5210,5210
1508739844,5208,5208
1508740331,5214,5214
1508740805,5210,5210
1508741292,5207,5207
1508741765,5210,5210
1508742250,5213,5213
1508742725,5213,5213
1508743210,5209,5209
1508743685,5211,5211
1508744174,5211,5211
1508744645,5213,5213
1508745131,5208,5208
1508745617,5216,5216
1508746087,5212,5212
1508746569,5213,5213
1508747047,5214,5214
1508747528,5215,5215
1508748007,5209,5209
1508748487,5216,5216
1508748970,5210,5210
1508749449,5213,5213
1508749927,5215,5215
1508750405,5214,5214
1508750891,5206,5206
1508751365,5209,5209
1508751848,5213,5213
1508752325,5226,5226
1508752827,5216,5216
1508753288,5205,5205
1508753769,5203,5203
1508754244,5211,5211
1508754731,5217,5217
1508756414,5223,5223
1508757373,5213,5213
1508757845,5210,5210
1508758324,5214,5214
1508758806,5205,5205
1508759286,5203,5203
1508759768,5209,5209
1508760247,5215,5215
1508760729,5203,5203
1508761449,5206,5206
1508761925,5205,5205
1508762406,5216,5216
1508762885,5202,5202
1508763371,5204,5204
1508763849,5205,5205
1508764328,5200,5200
1508764804,5202,5202
1508765290,5206,5206
1508765764,5200,5200
1508766249,5201,5201
1508766724,5201,5201
1508767216,5211,5211
1508767686,5203,5203
1508768167,5205,5205
1508768645,5206,5206
1508769133,5203,5203
1508769605,5214,5214
1508770087,5206,5206
1508770565,5206,5206
1508771050,5198,5198
1508771524,5204,5204
1508772008,5212,5212
1508772489,5208,5208
1508772969,5206,5206
1508773444,5206,5206
1508773925,5214,5214
1508774412,5204,5204
1508774888,5207,5207
1508775365,5204,5204
1508775845,5204,5204
1508776329,5208,5208
1508776809,5202,5202
1508777284,5202,5202
1508777765,5208,5208
1508778245,5206,5206
1508778727,5204,5204
1508779205,5212,5212
1508779685,5204,5204
1508780168,5215,5215
1508780648,5217,5217
