DateTime,AddedIPs,RemovedIPs
1508541122,11,0
1508541721,5,0
1508542921,4,20
1508543521,2,1
1508544122,2,0
1508544722,9,0
1508545922,6,4
1508546523,2,0
1508547122,3,2
1508547722,2,0
1508548321,6,0
1508548921,2,0
1508550122,0,68
1508550722,6,0
1508551322,6,0
1508552522,0,18
1508553721,1,9
1508554321,8,0
1508554922,5,0
1508556121,4,4
1508556722,9,1
1508557322,8,0
1508558522,5,11
1508559721,5,7
1508560322,0,3
1508560922,6,0
1508561521,1,3
1508562122,1,9
1508562721,3,0
1508563321,2,0
1508563921,1,1
1508565721,1,21
1508566321,5,0
1508566922,0,19
1508568121,5,2
1508568722,1,0
1508569322,3,0
1508569921,1,1
1508570521,0,3
1508571722,0,10
1508572321,0,4
1508572921,1,8
1508573521,2,0
1508574122,1,0
1508574721,6,23
1508575322,12,0
1508575921,1,3
1508577122,0,10
1508577722,0,1
1508578922,3,0
1508580122,0,29
1508581322,2,0
1508582522,1,1
1508583721,0,22
1508584321,4,9
1508584921,2,9
1508585522,9,47
1508586122,1,6
1508587321,0,6
1508587921,2,5
1508588521,4,0
1508589121,1,12
1508589721,1,0
1508590322,0,8
1508590922,1,2
1508592123,4,15
1508593321,29,24
1508594522,6,0
1508595721,2,5
1508596921,4,27
1508598123,4,16
1508599322,6,17
1508600521,5,7
1508601122,3,0
1508601722,6,5
1508602322,0,21
1508602921,8,7
1508603522,8,0
1508604122,14,6
1508604722,19,2
1508605322,17,5
1508605922,9,31
1508606521,2,0
1508607121,1,8
1508607721,5,9
1508608321,10,3
1508608921,8,5
1508609522,2,0
1508610122,2,0
1508610722,8,0
1508611322,1,0
1508611922,5,6
1508612522,1,4
1508613122,4,6
1508613721,2,0
1508614322,1,12
1508614922,4,11
1508616121,5,0
1508616721,3,27
1508617322,3,0
1508617921,4,2
1508618521,2,14
1508619121,3,12
1508619721,8,0
1508620322,6,2
1508620921,7,3
1508621522,2,0
1508622122,1,4
1508622721,2,0
1508623921,1,5
1508624522,0,8
1508625121,1,2
1508625722,1,10
1508626322,1,1
1508626921,2,0
1508627521,7,2
1508628121,0,17
1508628722,11,0
1508629321,7,3
1508629921,2,0
1508630521,2,2
1508631121,0,10
1508632923,0,5
1508634121,1,5
1508635322,5,4
1508636522,12,0
1508637121,10,20
1508637722,0,16
1508638921,17,0
1508640122,3,31
1508640722,4,0
1508641323,8,5
1508641922,7,0
