DateTime,AddedIPs,RemovedIPs
1508475122,1,3
1508475721,1,6
1508476922,44,5
1508478121,6,5
1508479322,3,3
1508479921,2,2
1508480522,1,0
1508481722,1,10
1508482921,17,3
1508483522,2,0
1508484721,0,2
1508485322,1,1
1508486522,1,1
1508487122,0,1
1508488321,2,0
1508488921,1,4
1508490122,2,5
1508491921,1,4
1508493123,0,3
1508493722,14,0
1508494922,43,16
1508495521,3,0
1508496121,2,5
1508497322,27,1
1508497921,12,0
1508498521,3,4
1508499122,4,0
1508499722,1,2
1508500923,2,5
1508502121,2,0
1508503322,4,2
1508503922,1,1
1508504522,1,8
1508505721,0,3
1508506922,0,4
1508507521,1,0
1508508121,0,3
1508509322,1,3
1508509922,9,3
1508510522,3,0
1508511722,0,4
1508512322,1,0
1508514122,20,6
1508514721,4,0
1508516522,7,11
1508517121,1,2
1508517721,1,0
1508518922,1,9
1508520122,1,3
1508521321,3,0
1508522522,2,8
1508523121,5,0
1508524921,24,3
1508525521,5,0
1508526122,0,7
1508527322,5,5
1508528522,2,0
1508529722,3,3
1508530321,12,2
1508530921,2,0
1508532121,2,10
1508533321,1,3
1508534522,3,0
1508535722,1,7
1508536322,2,4
1508538121,7,5
1508539322,3,4
1508540522,0,10
1508541122,7,0
1508541721,2,0
1508542322,1,2
1508542921,2,0
1508544122,3,2
1508545322,1,10
1508545922,2,0
1508546523,5,0
1508547722,1,11
1508548321,11,0
1508548921,1,0
1508550122,2,3
1508550721,0,7
1508551322,3,0
1508552522,3,4
1508553721,1,9
1508554321,0,5
1508554922,1,0
1508556121,1,12
1508557322,2,0
1508557921,2,3
1508558522,1,2
1508559721,1,16
1508560322,2,0
1508560922,1,0
1508562122,6,9
1508563921,0,4
1508564522,5,0
1508565121,1,4
1508565721,1,3
1508566321,4,0
1508566922,0,14
1508568121,0,3
1508569322,17,0
1508569921,12,0
1508570521,1,0
1508571722,8,7
1508572921,0,18
1508573521,0,6
1508574122,5,5
1508575322,2,1
1508576522,10,7
1508577122,3,0
1508577722,0,1
1508578922,5,0
1508580122,0,5
1508581322,46,6
1508582522,18,10
1508583122,6,0
1508583721,3,0
1508584921,3,8
1508586121,1,3
1508587321,5,0
1508587921,0,1
1508588521,1,0
1508589721,3,0
1508590922,0,3
1508592123,42,2
1508592721,1,2
1508593321,4,2
1508594521,2,0
1508595721,2,1
1508596921,1,1
1508598123,7,0
1508599322,5,10
1508600521,3,0
1508601122,0,1
1508601721,3,6
1508602322,2,5
1508602921,0,1
1508604122,32,2
1508605322,10,4
1508606521,4,4
1508607121,1,4
1508607721,2,0
1508608921,4,5
1508609522,1,3
1508611322,1,0
1508613721,17,2
1508614921,2,4
1508616121,2,0
1508616721,1,6
1508617322,4,0
1508618521,2,9
1508619721,1,6
1508620921,4,23
1508621521,7,0
1508622122,13,0
1508623321,3,8
1508623921,4,0
1508624522,6,4
1508625121,1,0
1508625722,0,3
1508626921,1,2
1508627521,2,9
1508628722,9,4
1508629321,8,7
1508630521,2,0
1508631121,0,8
1508632922,18,9
1508634121,4,19
1508635322,2,1
1508636522,0,5
1508637121,0,7
1508637722,3,0
1508638921,19,2
1508640122,3,19
1508640722,1,0
1508641323,3,6
1508642522,2,1
1508643121,12,2
1508643722,3,6
1508644921,3,3
1508646122,1,0
1508646721,1,2
1508647322,1,0
1508647922,1,2
1508648521,11,0
1508649722,5,3
1508650321,1,0
1508650922,0,2
1508652121,8,8
1508652721,0,1
1508653922,15,5
1508654522,1,1
1508655722,1,9
1508656921,1,8
1508658121,6,14
