DateTime,Entries,UniqueIPs
1508475122,3244,3309
1508475721,3239,3304
1508476922,3276,3343
1508478121,3280,3344
1508479322,3281,3344
1508479921,3280,3344
1508480522,3281,3345
1508481722,3272,3336
1508482921,3285,3350
1508483522,3287,3352
1508484721,3285,3350
1508485322,3285,3350
1508486522,3285,3350
1508487122,3284,3349
1508488321,3286,3351
1508488921,3283,3348
1508490122,3280,3345
1508491921,3277,3342
1508493123,3274,3339
1508493722,3286,3353
1508494922,3312,3380
1508495521,3315,3383
1508496121,3312,3380
1508497322,3337,3406
1508497921,3348,3418
1508498521,3347,3417
1508499122,3351,3421
1508499722,3350,3420
1508500923,3347,3417
1508502121,3349,3419
1508503322,3351,3421
1508503922,3351,3421
1508504522,3344,3414
1508505721,3341,3411
1508506922,3337,3407
1508507521,3338,3408
1508508121,3337,3405
1508509322,3335,3403
1508509922,3342,3409
1508510522,3345,3412
1508511722,3342,3408
1508512322,3343,3409
1508514122,3357,3423
1508514721,3361,3427
1508516522,3357,3423
1508517121,3357,3422
1508517721,3358,3423
1508518922,3352,3415
1508520122,3350,3413
1508521321,3353,3416
1508522522,3349,3410
1508523121,3354,3415
1508524921,3374,3436
1508525521,3378,3441
1508526122,3371,3434
1508527322,3371,3434
1508528522,3373,3436
1508529722,3373,3436
1508530321,3383,3446
1508530921,3384,3448
1508532121,3377,3440
1508533321,3376,3438
1508534522,3379,3441
1508535722,3373,3435
1508536322,3372,3433
1508538121,3373,3435
1508539322,3374,3434
1508540522,3364,3424
1508541122,3371,3431
1508541721,3373,3433
1508542322,3372,3432
1508542921,3374,3434
1508544122,3374,3435
1508545322,3365,3426
1508545922,3367,3428
1508546523,3372,3433
1508547722,3363,3423
1508548321,3374,3434
1508548921,3375,3435
1508550122,3373,3434
1508550721,3366,3427
1508551322,3369,3430
1508552522,3368,3429
1508553721,3360,3421
1508554321,3355,3416
1508554922,3356,3417
1508556121,3345,3406
1508557322,3347,3408
1508557921,3346,3407
1508558522,3345,3406
1508559721,3330,3391
1508560322,3332,3393
1508560922,3333,3394
1508562122,3330,3391
1508563921,3327,3387
1508564522,3332,3392
1508565121,3329,3389
1508565721,3327,3387
1508566321,3331,3391
1508566922,3318,3377
1508568121,3315,3374
1508569322,3331,3391
1508569921,3343,3403
1508570521,3344,3404
1508571722,3345,3405
1508572921,3330,3387
1508573521,3324,3381
1508574122,3323,3381
1508575322,3324,3382
1508576522,3325,3385
1508577122,3328,3388
1508577722,3327,3387
1508578922,3332,3392
1508580122,3327,3387
1508581322,3367,3427
1508582522,3375,3435
1508583122,3381,3441
1508583721,3384,3444
1508584921,3380,3439
1508586121,3379,3437
1508587321,3384,3442
1508587921,3383,3441
1508588521,3384,3442
1508589721,3387,3445
1508590922,3384,3442
1508592123,3421,3482
1508592721,3420,3481
1508593321,3422,3483
1508594521,3424,3485
1508595721,3425,3486
1508596921,3425,3486
1508598123,3431,3493
1508599322,3426,3488
1508600521,3429,3491
1508601122,3428,3490
1508601721,3425,3487
1508602322,3422,3484
1508602921,3421,3483
1508604122,3447,3513
1508605322,3453,3519
1508606521,3453,3519
1508607121,3450,3516
1508607721,3452,3518
1508608921,3451,3517
1508609522,3449,3515
1508611322,3450,3516
1508613721,3462,3531
1508614921,3460,3529
1508616121,3462,3531
1508616721,3457,3526
1508617322,3461,3530
1508618521,3455,3523
1508619721,3451,3518
1508620921,3433,3499
1508621521,3440,3506
1508622122,3451,3519
1508623321,3447,3514
1508623921,3451,3518
1508624522,3452,3520
1508625121,3453,3521
1508625722,3450,3518
1508626921,3449,3517
1508627521,3442,3510
1508628722,3447,3515
1508629321,3447,3516
1508630521,3449,3518
1508631121,3441,3510
1508632922,3452,3519
1508634121,3439,3504
1508635322,3440,3505
1508636522,3435,3500
1508637121,3428,3493
1508637722,3431,3496
1508638921,3448,3513
1508640122,3432,3497
1508640722,3433,3498
1508641323,3430,3495
1508642522,3430,3496
1508643121,3439,3506
1508643722,3436,3503
1508644921,3436,3503
1508646122,3437,3504
1508646721,3436,3503
1508647322,3437,3504
1508647922,3436,3503
1508648521,3446,3514
1508649722,3447,3516
1508650321,3448,3517
1508650922,3446,3515
1508652121,3446,3515
1508652721,3446,3514
1508653922,3455,3524
1508654522,3455,3524
1508655722,3449,3516
1508656921,3441,3509
1508658121,3433,3501
1508658721,3428,3496
1508659322,3432,3500
1508659921,3414,3481
1508660521,3413,3480
1508661721,3416,3483
1508662321,3413,3480
1508662922,3419,3486
1508664122,3423,3490
1508665321,3438,3505
1508665921,3426,3493
1508666521,3427,3494
1508667722,3425,3492
1508668921,3417,3484
1508670122,3438,3505
1508671321,3441,3507
1508672522,3443,3509
1508673722,3446,3510
1508674922,3444,3508
1508676122,3447,3513
1508677922,3456,3524
1508678521,3452,3520
1508679122,3454,3522
1508679721,3453,3521
1508680921,3453,3521
1508681521,3450,3518
1508682121,3449,3517
1508682722,3447,3515
1508683321,3442,3509
